Year,C (PO+A+DP)/G,C (A+DP)/G,1B (PO+A+DP)/G,2B (PO+A+DP)/G,3B (PO+A+DP)/G,SS (PO+A+DP)/G,LF (PO+A+DP)/G,LF (A+DP)/G,CF (PO+A+DP)/G,CF (A+DP)/G,RF (PO+A+DP)/G,RF (A+DP)/G,OF FLD,P (PO+A+DP)/9ip,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD
1936,5.50146,0.93003,8.8324,4.83095,3.58358,5.44937,1.64524,0.12853,1.9127,0.10317,1.66033,0.13315,0.958911716,9.48039,0.967674661,0.978047182,0.942752741,0.885736196,0.896803141,0.958911716,0.944728762
1937,4.70968,0.85585,9.36308,5.64431,3.57267,5.48505,1.64752,0.09703,2.15409,0.12608,1.7996,0.12185,0.96976786,11.1991,0.967974549,0.979238754,0.94636381,0.897667638,0.895820836,0.96976786,0.952950887
1938,4.97507,0.8795,9.00531,5.65484,3.58748,5.38382,1.5616,0.0832,2.24788,0.12181,1.96697,0.12814,0.970878347,12.32857,0.973706061,0.98182388,0.950269162,0.910974674,0.902227051,0.970878347,0.953989517
1939,4.59058,0.78096,9.36628,6.24738,3.57398,5.52997,1.73836,0.12084,2.06501,0.09178,1.99079,0.12999,0.975317226,5.38426,0.972381794,0.986049107,0.950852018,0.924868957,0.907935285,0.975317226,0.955066079
1940,4.91943,0.88341,9.29268,5.74791,3.66216,5.37961,1.86419,0.10161,2.09774,0.10588,1.68542,0.09686,0.976135616,5.91471,0.977914346,0.986031555,0.95133736,0.915041068,0.900722022,0.976135616,0.962839093
1941,4.4741,0.86985,10.06407,5.68553,4.20233,5.88766,1.96525,0.11583,2.49428,0.13723,1.86866,0.10403,0.983437689,5.74412,0.977488152,0.990279465,0.963349515,0.934567901,0.922043656,0.983437689,0.970212766
1942,4.21878,0.72679,9.83086,5.54611,4.14376,5.68427,2.04436,0.10993,2.40366,0.12702,1.86444,0.11444,0.977664641,5.63571,0.978728792,0.99017809,0.955184887,0.923595506,0.91178212,0.977664641,0.964316797
1943,4.52974,0.73721,9.83525,5.45867,3.84225,5.68028,2.19048,0.11565,2.46433,0.1189,1.74926,0.0816,0.981844741,5.77381,0.98014661,0.989702199,0.963217782,0.921783877,0.925245406,0.981844741,0.9657173
1944,4.78238,0.91192,8.73934,4.8,4.32461,5.01579,2.13592,0.1165,2.75893,0.19643,1.77567,0.10646,0.98034398,4.9619,0.972885033,0.97761194,0.949206349,0.906976744,0.913135593,0.98034398,0.97826087
1946,4.07826,0.75217,9.61611,5.70816,3.78571,5.58944,2.20623,0.12062,2.55882,0.16054,1.96432,0.15685,0.972851406,5.3,0.96492616,0.987218935,0.956912029,0.916390728,0.91890292,0.972851406,0.953648463
1947,3.79761,0.73781,9.98407,6.13905,3.73535,5.48105,2.24376,0.1039,2.62668,0.14107,2.10739,0.15581,0.980315491,5.08824,0.970361446,0.991720331,0.960835968,0.931095856,0.920080102,0.980315491,0.969866552
1948,3.76578,0.69049,10.44767,5.35227,3.93937,5.33496,2.16847,0.0991,2.39078,0.10506,2.11212,0.13245,0.978288486,4.65,0.972778223,0.990919993,0.962101371,0.929692404,0.929448819,0.978288486,0.960830396
1949,3.96588,0.54284,10.09378,5.78019,3.68144,5.43449,1.79406,0.08416,2.32435,0.08882,2.15758,0.09867,0.97939472,4.61255,0.971897397,0.988832306,0.961792236,0.930385488,0.925655977,0.97939472,0.962612983
1950,4.18437,0.58161,9.79224,5.79918,3.78312,5.08098,2.04808,0.0966,2.04403,0.09071,2.03333,0.12037,0.975318414,4.66803,0.972292961,0.990082814,0.962522616,0.923470009,0.918541432,0.975318414,0.967361741
1951,3.84116,0.60917,9.65688,5.36894,3.66937,5.01883,1.97289,0.09365,1.97141,0.07888,1.98441,0.10912,0.977885807,4.88117,0.977397938,0.989900891,0.966560697,0.918831169,0.924732476,0.977885807,0.961731844
1952,3.86509,0.61557,10.61324,5.01553,3.91444,5.11458,1.73383,0.07836,1.89582,0.09329,1.91182,0.10486,0.978976315,5.14251,0.975201488,0.990983017,0.967670129,0.94378242,0.9340439,0.978976315,0.961566006
1953,4.04118,0.62936,10.47008,5.1701,3.55232,5.26707,1.69205,0.08846,1.96546,0.06908,1.72265,0.1116,0.97925785,5.24631,0.977608385,0.992164653,0.973091227,0.945817913,0.941518543,0.97925785,0.961895689
1954,4.38269,0.60172,9.85657,4.85195,3.40554,5.00092,1.70317,0.09431,1.96703,0.08415,1.78899,0.09967,0.980580158,4.8558,0.979089219,0.992620643,0.967414022,0.942783172,0.943046485,0.980580158,0.95971979
1955,4.52394,0.60888,9.06678,4.63816,3.40113,4.85374,1.52409,0.07566,1.85135,0.06876,1.57373,0.07419,0.978886918,4.82505,0.979496738,0.992787543,0.965045889,0.94786062,0.945487817,0.978886918,0.966294594
1956,4.35739,0.56764,8.98923,4.64764,3.1961,4.55014,1.56994,0.07607,1.68528,0.08093,1.40208,0.0725,0.980037634,4.97134,0.980878018,0.99208109,0.972613234,0.94693079,0.942985326,0.980037634,0.961
1957,4.7666,0.5463,8.8626,4.79336,3.31661,4.45481,1.48692,0.07343,1.7146,0.06878,1.45337,0.07341,0.979642257,4.84247,0.983219995,0.991687123,0.974484136,0.945586457,0.941678035,0.979642257,0.968880176
1958,5.19366,0.57504,9.26989,4.73506,3.32159,4.51713,1.46512,0.06541,1.67346,0.07536,1.58032,0.07587,0.97870519,4.86277,0.984266894,0.992559081,0.970332851,0.949358654,0.943468109,0.97870519,0.969284188
1959,5.12224,0.50729,8.97473,4.58998,3.11777,4.47882,1.36813,0.06793,1.63856,0.07437,1.56425,0.0715,0.978058439,4.7394,0.984921868,0.99306372,0.968886338,0.94802565,0.946135538,0.978058439,0.967664351
1960,4.92089,0.48373,8.97378,4.6775,2.86085,4.07327,1.25173,0.05847,1.7299,0.06055,1.48718,0.08432,0.980328926,4.68342,0.985625343,0.991324119,0.973087819,0.950573698,0.950987939,0.980328926,0.96868992
1961,4.69099,0.48997,8.46743,4.61357,3.07211,4.32605,1.24459,0.07342,1.66489,0.05719,1.47061,0.07488,0.978551445,4.89583,0.988181818,0.991566543,0.970022624,0.953956583,0.948619537,0.978551445,0.968237705
1962,4.79635,0.49197,8.45694,4.62482,2.84907,4.08321,1.34413,0.0583,1.73473,0.07485,1.54368,0.06041,0.981208472,5.01241,0.988926205,0.991650382,0.972785978,0.958456973,0.956919902,0.981208472,0.96559575
1963,4.27381,0.49384,8.39385,4.34196,2.95693,4.24443,1.52447,0.06357,1.87826,0.07174,1.50714,0.06349,0.985453223,5.03193,0.987015485,0.993224714,0.97397232,0.960549717,0.959322034,0.985453223,0.965509259
1964,4.27557,0.44635,8.78546,4.54835,2.95837,4.35248,1.6856,0.06749,1.67467,0.05841,1.49781,0.05908,0.98450295,4.91448,0.987987108,0.991993982,0.975672084,0.958385482,0.958957357,0.98450295,0.967414404
1965,4.43325,0.45564,9.04905,4.53111,2.70881,3.8404,1.52141,0.05352,1.70996,0.05898,1.43263,0.05825,0.984273218,4.9929,0.989778037,0.994808712,0.974790841,0.956543967,0.958232738,0.984273218,0.967491509
1966,4.52595,0.47915,8.67484,4.41101,2.56295,3.87353,1.46251,0.05806,1.60906,0.06269,1.38812,0.06998,0.984371967,4.96917,0.988112318,0.993331366,0.97508441,0.959842941,0.958559959,0.984371967,0.969719909
1967,4.91671,0.50299,8.77932,4.49108,2.45078,4.01842,1.32489,0.04257,1.62242,0.05191,1.45232,0.07047,0.984051037,4.80416,0.989680083,0.990761848,0.974652494,0.955787476,0.960315408,0.984051037,0.966268812
1968,4.97886,0.48493,8.48937,4.31091,2.6468,3.911,1.48378,0.06295,1.61676,0.0603,1.52954,0.07061,0.985482165,4.83395,0.988675485,0.991986582,0.976306125,0.953410982,0.960020904,0.985482165,0.968237438
1969,5.11512,0.47233,7.9652,4.53834,2.808,4.01531,1.47665,0.05945,1.73921,0.0572,1.64233,0.06887,0.985427687,4.78344,0.988693467,0.992179487,0.978271605,0.951651159,0.95736592,0.985427687,0.96816685
1970,4.94917,0.51259,7.70755,4.24938,2.6774,3.67461,1.49343,0.05662,1.7109,0.05574,1.55298,0.06121,0.988065884,4.88153,0.988000384,0.992462148,0.97864004,0.958564063,0.961395796,0.988065884,0.971359743
1971,4.65057,0.53883,8.59207,4.43917,2.48741,3.87377,1.61111,0.06052,1.77632,0.05558,1.47095,0.06232,0.987183194,4.88535,0.990181037,0.993018976,0.979727239,0.949168556,0.960302951,0.987183194,0.969267771
1972,4.60116,0.52323,8.90393,4.82274,2.59826,4.19008,1.60219,0.04895,1.85721,0.06277,1.6017,0.05897,0.986804633,4.83822,0.989863795,0.992527699,0.980310263,0.958604829,0.962256494,0.986804633,0.965832661
1973,4.49624,0.51457,8.71027,4.8147,2.58603,3.83034,1.58143,0.05261,1.93327,0.06402,1.53378,0.05248,0.987979177,4.82405,0.990450205,0.993405741,0.979193605,0.954912384,0.961728891,0.987979177,0.966865834
1974,4.41829,0.49118,9.04218,4.6297,2.68976,3.4884,1.48371,0.05664,1.81291,0.07115,1.58498,0.06413,0.986673199,5.09125,0.990205371,0.993106114,0.978454047,0.957894737,0.960673382,0.986673199,0.973105767
1975,4.25628,0.50024,8.6087,4.59469,2.72383,3.67147,1.50274,0.0637,1.96413,0.06808,1.63153,0.05851,0.987780991,4.92025,0.990282587,0.991923781,0.976718539,0.953822274,0.958080675,0.987780991,0.971087533
1976,4.52049,0.49561,8.77979,4.72097,2.67755,3.80368,1.65204,0.05334,1.7781,0.05933,1.48331,0.06193,0.985323089,4.66201,0.989593496,0.992598264,0.98079942,0.957148499,0.96754537,0.985323089,0.963575231
1977,4.65278,0.51138,8.25853,4.34252,2.67228,3.6903,1.51012,0.04724,1.8861,0.06515,1.54895,0.0532,0.987561698,4.64937,0.989052236,0.991610094,0.979145978,0.959620931,0.965535883,0.987561698,0.97366209
1978,4.36023,0.5075,8.37997,4.37075,2.61018,4.02587,1.43664,0.07024,2.00142,0.05629,1.6856,0.07535,0.986916951,4.67726,0.990586453,0.992460369,0.978854952,0.958650483,0.966346786,0.986916951,0.965861782
1979,4.74441,0.47406,8.72371,4.23814,2.53854,4.28624,1.45391,0.06187,1.69449,0.05938,1.44189,0.0516,0.984150005,4.67468,0.98784164,0.993776592,0.979329746,0.953966297,0.966662222,0.984150005,0.966611018
1980,4.76675,0.49783,8.27089,4.07098,2.623,4.22478,1.5279,0.05579,1.71456,0.05238,1.56734,0.05772,0.985806051,4.85949,0.990763297,0.993561548,0.977903888,0.953034826,0.962335958,0.985806051,0.971910112
1981,4.45902,0.48318,8.20482,4.48004,2.39281,4.35766,1.49945,0.05132,1.63606,0.04304,1.62806,0.06862,0.985450532,4.77497,0.98997761,0.99267723,0.981038161,0.959975242,0.967429693,0.985450532,0.969688769
1982,4.65685,0.48842,8.50453,4.83641,2.30919,4.53842,1.53867,0.04933,1.68586,0.0485,1.63555,0.06746,0.986349493,4.87975,0.990628905,0.993235127,0.983319433,0.953017145,0.972008853,0.986349493,0.966304059
1983,4.35587,0.48169,8.00431,4.64589,2.37367,4.50433,1.49363,0.05155,1.70469,0.05681,1.66464,0.07674,0.985404301,4.98348,0.988431182,0.992690433,0.980833733,0.958877285,0.96797292,0.985404301,0.96171875
1984,4.46096,0.50047,8.43756,4.64008,2.47569,4.19179,1.55036,0.05036,1.75609,0.04912,1.44651,0.06644,0.985726942,4.84244,0.988910013,0.994200867,0.982690058,0.955268817,0.968854431,0.985726942,0.964668094
1985,4.80551,0.50271,7.68918,4.24744,2.23325,4.27755,1.51088,0.03969,1.59884,0.04942,1.59496,0.06895,0.986306768,4.87913,0.989931162,0.992365918,0.981788843,0.953680913,0.966613882,0.986306768,0.964724746
1986,5.36177,0.50627,8.53584,4.62916,2.1977,4.18158,1.43865,0.04259,1.53762,0.04733,1.57223,0.05582,0.988511804,4.8769,0.991094863,0.993016489,0.983768116,0.946457052,0.968514532,0.988511804,0.968882979
1987,5.24354,0.50646,8.56072,4.74548,2.07146,4.1757,1.42187,0.042,1.60043,0.05043,1.61765,0.0638,0.988147224,4.72265,0.991617451,0.992426204,0.982792699,0.955727337,0.970383027,0.988147224,0.963981303
1988,5.12045,0.5119,8.72966,4.83223,2.25918,4.01611,1.4283,0.0493,1.72164,0.06578,1.63887,0.06139,0.987015643,4.92357,0.99065866,0.992725166,0.984763899,0.960793253,0.972639011,0.987015643,0.97036253
1989,5.11835,0.54312,8.74921,4.87258,2.25499,4.07344,1.26518,0.04624,1.66777,0.0595,1.56591,0.06343,0.98730858,4.86531,0.990447869,0.99324672,0.98552057,0.954688201,0.974661676,0.98730858,0.972972973
