YEAR,Contact,Gap Power,HR Power,Eye,Avoid K,Stuff,Movement,Control,Speed,Fielding
1936,0.956,1.065,0.3,1.383,1.866,0.544,1.36,1.004,1.85,0.983
1937,0.931,1.058,0.3,1.47,2.0,0.5,1.355,1.019,1.701,0.983
1938,0.939,0.85,0.35,1.553,1.927,0.52,1.411,1.035,1.717,0.983
1939,0.938,0.873,0.3,1.332,1.982,0.5,1.676,1.06,1.361,0.983
1940,0.84,0.79,0.3,1.295,1.836,0.523,2.0,1.134,1.278,0.983
1941,0.804,0.619,0.3,1.413,2.0,0.5,2.0,1.164,1.243,0.983
1942,0.793,0.612,0.3,1.205,2.0,0.5,2.0,1.185,1.191,0.983
1943,0.775,0.622,0.3,1.334,2.0,0.5,1.955,1.134,1.182,0.983
1944,0.916,0.88,0.3,1.3,2.0,0.5,1.896,1.078,1.43,0.983
1946,1.026,1.107,0.3,1.183,2.0,0.5,1.124,0.926,1.242,0.983
1947,0.928,0.932,0.3,1.026,2.0,0.5,1.59,1.114,1.115,0.983
1948,0.985,1.008,0.422,0.838,2.0,0.5,1.449,1.105,1.2,0.983
1949,1.059,1.123,0.902,0.916,2.0,0.5,0.962,0.96,1.243,0.983
1950,1.04,1.052,0.886,0.943,2.0,0.5,0.945,0.953,1.578,0.988
1951,1.011,0.987,0.663,0.906,2.0,0.5,1.075,1.004,1.43,0.988
1952,1.002,1.019,0.593,0.905,2.0,0.5,1.127,1.019,1.471,0.988
1953,0.993,1.014,0.573,0.894,1.983,0.504,1.215,1.052,1.361,0.988
1954,0.982,0.985,0.576,0.903,1.715,0.573,1.268,1.087,1.425,0.988
1955,0.961,0.924,0.574,0.836,1.574,0.622,1.355,1.124,1.297,0.988
1956,0.908,0.898,0.516,0.79,1.501,0.644,1.466,1.185,1.265,0.988
1957,0.923,0.919,0.627,0.826,1.367,0.71,1.433,1.174,1.147,0.988
1958,0.923,0.967,0.64,0.761,1.325,0.737,1.365,1.174,1.246,0.988
1959,0.933,0.958,0.695,0.772,1.292,0.763,1.299,1.154,1.093,0.988
