YEAR,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP(league),DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,SV per Win,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC,XBT,LF Assists per Ipout-K,CF Assists per Ipout-K,RF Assists per Ipout-K,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD,LF FLD,CF FLD,RF FLD,DefEff Spread (Max - Min),BABIP Against Spread,PH AB per AB,Sac Bunt Success Rate,Position Player SAC Bunts,Estimated  OF AO percentage,Estimated IF AO percentage,Pitcher AB,P AB/Total AB,Position Player SAC/AB,Pitcher SAC/AB,SP ERA,RP ERA,Relief Appearances per 27 IPouts,Singles,Infield Swinging Singles NonBunt (estiamted 1871-1987),Bunt Singles (estimated 1871-1987),Infield Swinging Singles/Total Singles,Bunt Singles/Total Singles,MLB pBABIP,G
YEAR,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP(league),DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,SV per Win,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC,XBT,LF Assists per Ipout-K,CF Assists per Ipout-K,RF Assists per Ipout-K,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD,LF FLD,CF FLD,RF FLD,DefEff Spread (Max - Min),BABIP Against Spread,PH AB per AB,Sac Bunt Success Rate,Position Player SAC Bunts,Estimated  OF AO percentage,Estimated IF AO percentage,Pitcher AB,P AB/Total AB,Position Player SAC/AB,Pitcher SAC/AB,SP ERA,RP ERA,Relief Appearances per 27 IPouts,Singles,Infield Swinging Singles NonBunt (estiamted 1871-1987),Bunt Singles (estimated 1871-1987),Infield Swinging Singles/Total Singles,Bunt Singles/Total Singles,MLB pBABIP,G
1936,5792,1400,236,60,37,805,28,675,261,0,0,0.337,0.322,0.659,0.08,1.0,10.401960784,0.965,314,,,,,,2.76,4552,1.31,0.990679095,22.31372549,4.290292177,1.1,48.0,0.416666667,0.234693878,0.0,,,,,0.0,6.29327768,4250,25.20869947,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.210017575,1067,,,,,,102
1937,14186,3341,534,186,82,2115,79,1532,491,0,0,0.338,0.317,0.655,0.08,1.0,8.425339367,0.965,1157,,,,,,2.77,11283,1.29,0.98630137,25.52714932,6.059613319,1.1,48.0,0.466063348,0.166666667,0.0,,,,,0.0,4.455729859,10349,24.76495613,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.057697421,2539,,,,,,221
1938,10099,2399,312,100,92,1603,50,1140,316,0,0,0.345,0.316,0.66,0.08,1.0,8.292857143,0.965,796,,,,,,2.66,8048,1.27,0.909090909,28.74285714,6.931955211,1.1,48.0,0.582142857,0.239130435,0.0,,,,,0.0,3.89500497,7221,24.22552187,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939363817,1895,,,,,,140
1939,15855,3763,496,168,103,2112,56,1740,627,0,0,0.327,0.309,0.637,0.08,1.0,7.0625,0.965,1445,,,,,,2.24,12859,1.24,0.832659252,14.88310185,4.21468371,1.1,48.0,0.325231481,0.162621359,0.0,,,,,0.00854393,6.406174664,11268,23.65938253,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.814137958,2996,,,,,,432
1940,17043,3619,474,172,63,2200,66,2019,593,0,0,0.303,0.271,0.575,0.08,1.0,6.153518124,0.965,1581,,,,,,1.83,14177,1.16,0.886792453,15.11407249,4.912335412,1.1,48.0,0.333688699,0.187919463,0.0,,,,,0.00871854,5.496367356,12093,23.03103619,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.786414615,2910,,,,,,469
1941,16964,3451,421,83,77,2418,53,1560,403,0,0,0.305,0.252,0.556,0.08,1.0,5.297058824,0.965,1560,,,,,,1.64,14407,1.13,0.777985075,21.18676471,7.999444753,1.1,48.0,0.397058824,0.270833333,0.0,,,,,0.0,3.375234261,11892,22.2866662,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.274380509,2870,,,,,,340
1942,20935,4197,473,142,88,2492,72,1878,650,272,0,0.288,0.249,0.537,0.08,0.704989154,5.173809524,0.965,1800,,,,,,1.73,17570,1.11,0.836978952,20.91666667,8.08559595,1.1,48.0,0.41547619,0.233668342,0.0,,,,,0.0,3.339271485,14399,22.12709163,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.290836653,3494,,,,,,420
1943,16284,3191,377,109,59,2174,51,1583,519,229,0,0.293,0.243,0.536,0.08,0.693850267,5.264880952,0.965,1340,,,,,,1.92,13738,1.16,0.76432829,20.44345238,7.765969474,1.1,48.0,0.495535714,0.273015873,0.0,,,,,0.0,3.476706944,11576,22.75090988,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.320716261,2646,,,,,,336
1944,4668,1082,160,37,12,605,13,356,208,62,0,0.322,0.29,0.611,0.08,0.77037037,6.771428571,0.965,378,,,,,,1.98,3770,1.22,0.85440613,17.95238095,5.302390999,1.1,48.0,0.523809524,0.267326733,0.0,,,,,0.0,5.09204244,3238,23.18992042,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50397878,873,,,,,,105
1946,21647,5617,859,291,144,2524,92,1681,719,347,0,0.339,0.346,0.685,0.08,0.674484053,8.692857143,0.965,2013,,,,,,3.34,16843,1.42,0.693980583,20.05119048,4.613256642,1.1,48.0,0.441666667,0.140435835,0.0,,,,,0.0,5.85269845,15369,24.63711928,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.346553464,4323,,,,,,420
1947,23797,5584,808,256,182,2372,111,1871,707,403,0,0.307,0.313,0.62,0.08,0.636936937,6.512605042,0.965,2246,,,,,,2.36,19248,1.18,0.902578797,20.21848739,6.209032258,1.1,48.0,0.504201681,0.190889371,0.0,,,,,0.0,4.348503741,15870,22.26153367,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.335411471,4338,,,,,,476
1948,23728,5911,928,220,260,1898,82,1917,891,400,0,0.307,0.34,0.647,0.08,0.690162665,7.051785714,0.965,2031,,,,,,2.59,18925,1.19,1.034371643,16.89732143,4.792352494,1.1,48.0,0.364285714,0.157992565,0.0,,,,,0.0,5.633976222,15732,22.44459709,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.597886394,4503,,,,,,560
1949,33361,8937,1490,308,782,2937,131,3191,924,434,0,0.33,0.401,0.731,0.08,0.680412371,9.625461255,0.965,2941,,,,,,3.9,25600,1.37,1.146008403,23.61623616,4.907034694,1.1,48.0,0.457564576,0.117757009,0.0,,,,,0.0,5.502304687,23502,24.78726562,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14328125,6357,,,,,,542
1950,67645,17801,2863,553,1557,6148,278,6829,2331,879,0,0.327,0.391,0.718,0.08,0.726168224,9.692622951,0.97,5627,,,,,,3.97,51913,1.38,1.110767729,26.59477459,5.487632135,1.1,48.0,0.461065574,0.126967471,0.0,,,,,0.0,4.920154875,48082,25.00749331,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.015237031,12828,,,,,,976
1951,50780,12980,2006,400,875,4420,242,4733,1591,738,0,0.318,0.363,0.681,0.08,0.683125805,8.720961282,0.97,4080,,,,,,3.49,39791,1.31,1.07081448,26.56275033,6.091702388,1.1,48.0,0.401201602,0.116901408,0.0,,,,,0.0,4.432258551,35396,24.01779297,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016461009,9699,,,,,,749
1952,56136,14229,2309,436,865,4877,276,5438,1817,793,0,0.316,0.356,0.673,0.08,0.696168582,8.259661836,0.97,4597,,,,,,3.33,44435,1.29,1.115029731,26.83272947,6.497294926,1.1,48.0,0.367149758,0.148418491,0.0,,,,,0.0,4.15557556,39355,23.91324406,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006233825,10619,,,,,,828
1953,50096,12589,2039,399,746,4297,263,5495,1614,791,0,0.314,0.353,0.666,0.08,0.671101871,7.748768473,0.97,4025,,,,,,3.09,40005,1.25,1.311416185,24.63362069,6.358073744,1.1,48.0,0.342980296,0.151439299,0.0,,,,,0.0,4.246569179,35401,23.89268841,1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.096062992,9405,,,,,,812
1954,58884,14619,2324,459,881,5102,291,7466,2003,882,0,0.309,0.348,0.658,0.08,0.694280763,7.345872518,0.97,4615,,,,,,2.96,47788,1.21,1.541188525,24.96760711,6.79772404,1.1,48.0,0.330198537,0.140875133,0.0,,,,,0.01051535,3.971917636,42743,24.14959823,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.081401189,10955,,,,,,957
1955,59093,14370,2208,411,881,4712,313,8167,1798,931,0,0.301,0.339,0.64,0.08,0.658849395,7.002070393,0.97,4217,,,,,,2.77,48173,1.17,1.805752307,24.93426501,7.121969249,1.1,48.0,0.295548654,0.162644281,0.0,,,,,0.00922362,3.791086293,43285,24.26037407,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.082847238,10870,,,,,,966
1956,65958,15143,2319,523,884,4950,370,9555,1905,1263,0,0.286,0.321,0.606,0.08,0.601325758,6.382411067,0.97,4545,,,,,,2.56,54433,1.11,1.931423961,26.8937747,8.427465552,1.1,48.0,0.267786561,0.179979778,0.0,,,,,0.0084674,3.203810189,47834,23.72674664,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00394981,11417,,,,,,1012
1957,51637,12054,1896,381,841,4063,278,8215,1337,767,0,0.291,0.334,0.625,0.08,0.635456274,6.623103851,0.97,3628,,,,,,2.62,42442,1.12,2.143656242,24.76196033,7.477448908,1.1,48.0,0.282963827,0.169267707,0.0,,,,,0.00879423,3.61085717,38387,24.42036191,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.090382169,8936,,,,,,857
1958,51833,12100,1992,413,862,3737,279,8508,1376,715,0,0.287,0.338,0.625,0.08,0.658058345,6.645489199,0.97,3532,,,,,,2.75,42374,1.12,2.278491172,26.92121982,8.10210325,1.1,48.0,0.304320203,0.17739816,0.0,,,,,0.00856316,3.332468023,38488,24.52390617,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002926323,8833,,,,,,787
1959,53187,12553,1994,451,961,3892,328,8952,1146,640,0,0.291,0.345,0.635,0.08,0.641657335,6.87032419,0.97,3758,,,,,,2.89,43089,1.14,2.300102775,26.86346633,7.820145191,1.1,48.0,0.275561097,0.174479167,0.0,,,,,0.00861236,3.452621319,39760,24.91401518,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005082504,9147,,,,,,802
1960,52440,12538,2063,418,1010,3854,318,8991,1254,618,0,0.294,0.352,0.646,0.08,0.669871795,6.850502513,0.975,3760,,,,,,2.92,42528,1.16,2.332900882,26.71356784,7.799009719,1.1,48.0,0.280150754,0.156532988,0.0,,,,,0.00849808,3.461977991,39559,25.11505361,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.010722348,9047,,,,,,796
1961,53958,13060,2209,359,1027,4119,340,8978,1072,673,0,0.298,0.353,0.652,0.08,0.614326648,7.034313725,0.975,3930,,,,,,2.92,43631,1.18,2.179655256,26.73468137,7.601219512,1.1,48.0,0.25245098,0.138539043,0.0,,,,,0.00952299,3.552061608,40700,25.18622081,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.009924137,9465,,,,,,816
