League,Year,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP,DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,SV per Win,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC
Eastern League,2008,22845,6228,1118,161,516,2159,340,4396,433,251,529,0.342114548,0.403414314,0.745528862,0.08,0.633040936,2.267857143,0.975,1120,392,0.35,0.06,0.25,0.015,4.84193603,17727,0.08681672,0.658869396,0,402.886363636,1.0,47.0,0,0.015576324,0.448598131,4395,0.247926891,0.014948948,0.002,0.012377166,4.835843628,26039,39.66001015,2801,0.008,5.326129633
Eastern League,2009,25786,7039,1263,187,614,2376,326,5016,549,327,514,0.339360368,0.407895757,0.747256125,0.08,0.626712329,2.432450331,0.975,1208,422,0.349337748,0.06,0.25,0.015,4.987658037,19932,0.092865744,0.528363047,0,642.967741935,1.0,47.0,0,0.016304348,0.451086957,5000,0.2508529,0.016255268,0.002,0.014481094,4.975466586,29222,39.58428657,3021,0.008,5.486423841
Eastern League,2010,26058,7177,1227,174,635,2322,330,4758,526,303,395,0.339715895,0.408972293,0.748688188,0.08,0.634499397,2.322884013,0.975,1276,446,0.349529781,0.06,0.25,0.015,5.019282917,19914,0.095360048,0.521327014,0,510.615384615,1.0,47.0,0,0.019073569,0.463215259,4762,0.239128251,0.017274279,0.002,0.014713645,5.023350407,29323,39.75700512,3190,0.008,5.521211208
Eastern League,2011,26206,6731,1106,172,384,2387,375,5030,579,304,741,0.325336715,0.356139815,0.68147653,0.08,0.655719139,1.770423375,0.975,1341,469,0.349739001,0.06,0.25,0.015,3.821315714,20886,0.056162022,0.953964194,0,673.741935484,1.0,47.0,0,0.029333333,0.501333333,5056,0.242076032,0.015656421,0.002,0.013307265,3.83812123,29934,38.6966389,3354,0.008,4.203447285
Eastern League,2012,25582,6660,1114,162,399,2290,340,4773,552,318,567,0.326847975,0.363341412,0.690189387,0.08,0.634482759,1.909815951,0.975,1304,456,0.349693252,0.06,0.25,0.015,4.208681384,20112,0.059665871,0.85,0,419.0,1.0,47.0,0,0.022408964,0.464985994,4774,0.237370724,0.017800318,0.002,0.013755786,4.179146778,29037,38.98165274,3261,0.008,4.629549523
Eastern League,2013,26023,6894,1105,138,510,2479,361,4736,582,290,480,0.33500826,0.376782077,0.711790337,0.08,0.667431193,2.156913183,0.975,1244,435,0.349678457,0.06,0.25,0.015,4.463338765,20253,0.075544364,0.721568627,0,810.12,1.0,47.0,0,0.019125683,0.489071038,4723,0.23320002,0.01782452,0.002,0.012437971,4.47133758,29542,39.38349874,3110,0.008,4.909672641
Eastern League,2014,25991,6908,1171,134,517,2339,347,4836,531,313,458,0.332340308,0.380824131,0.713164439,0.08,0.629146919,2.199216199,0.975,1224,428,0.349673203,0.06,0.25,0.015,4.512698648,20199,0.077528591,0.664750958,0,651.580645161,1.0,47.0,0,0.01369863,0.509589041,4831,0.239170256,0.015792861,0.002,0.012432468,4.50066835,29352,39.2348136,3063,0.008,4.963968513
Eastern League,2015,26060,6656,1142,123,487,2634,361,4976,535,297,516,0.330151888,0.364735226,0.694887115,0.08,0.643028846,1.954022989,0.975,1322,462,0.349470499,0.06,0.25,0.015,4.22981638,20586,0.070241912,0.748962656,0,467.863636364,1.0,47.0,0,0.019283747,0.479338843,4957,0.240794715,0.017439036,0.002,0.011338885,4.236374235,29753,39.02317109,3306,0.008,4.652798018
Eastern League,2016,27553,7007,1172,167,577,2779,306,5793,585,297,606,0.326972299,0.371792545,0.698764844,0.08,0.663265306,2.034482759,0.975,1345,470,0.349442379,0.06,0.25,0.015,4.244052502,21942,0.079846869,0.534246575,0,685.6875,1.0,47.0,0,0.012690355,0.525380711,5775,0.263193875,0.01649804,0.002,0.014056598,4.210828548,31486,38.7440525,3364,0.008,4.668457752
Eastern League,2017,28451,7124,1118,162,578,2943,328,6005,682,386,543,0.325668097,0.362025939,0.687694037,0.08,0.638576779,1.994305239,0.975,1404,491,0.3497151,0.06,0.25,0.015,4.159613859,22686,0.076302565,0.564991334,0,731.806451613,1.0,47.0,0,0.019417476,0.461165049,5996,0.264303976,0.014722736,0.002,0.011809844,4.167944988,32465,38.63858768,3512,0.008,4.575575245
Eastern League,2018,27656,7095,1166,162,551,2846,386,6038,656,449,557,0.331993828,0.370190917,0.702184745,0.08,0.593665158,2.021971831,0.975,1420,496,0.349295775,0.06,0.25,0.015,4.422064639,21999,0.0745943,0.705667276,0,1374.9375,1.0,47.0,0,0.025575448,0.496163683,6031,0.274148825,0.018137188,0.002,0.013658292,4.40488204,31672,38.87194872,3550,0.008,4.864271103
Eastern League,2019,29055,7253,1243,176,644,3110,385,6609,675,410,509,0.328103059,0.371020478,0.699123537,0.08,0.622119816,1.921915669,0.975,1536,537,0.349609375,0.06,0.25,0.015,4.29020979,23166,0.082362082,0.602201258,0,565.024390244,1.0,47.0,0,0.014218009,0.462085308,6611,0.285375119,0.018993352,0.002,0.012562662,4.303030303,33265,38.77039627,3843,0.008,4.719230769
Eastern League,2020,17695,4575,678,105,425,2001,225,3784,379,232,287,0.33926968,0.380785533,0.720055212,0.08,0.620294599,1.872149837,0.975,982,343,0.349287169,0.06,0.25,0.015,4.451612903,13950,0.091397849,0.522352941,0,606.52173913,1.0,47.0,0,0.004098361,0.5,3781,0.271039427,0.01734767,0.002,0.012295888,4.449677419,20340,39.36774194,2457,0.008,4.896774194
Eastern League,2021,25617,6543,1205,144,603,2824,322,5493,500,284,313,0.334518713,0.384315103,0.718833816,0.08,0.637755102,2.055825243,0.975,1318,461,0.349772382,0.06,0.25,0.015,4.541074368,20049,0.089630406,0.540901503,0,911.318181818,1.0,47.0,0,0.021798365,0.411444142,5498,0.274228141,0.018255275,0.002,0.013808739,4.562621577,29264,39.40984588,3297,0.008,4.995181805
Eastern League,2022,25904,6482,1199,154,535,2762,314,5627,474,254,338,0.327373613,0.370367511,0.697741124,0.08,0.651098901,1.927442949,0.975,1367,478,0.349670812,0.06,0.25,0.015,4.339191564,20484,0.079379028,0.577490775,0,1575.692307692,1.0,47.0,0,0.0,0.489247312,5647,0.275678578,0.017037688,0.002,0.014538601,4.341827768,29550,38.94991213,3418,0.008,4.773110721
Eastern League,2023,29606,7532,1389,173,568,2935,393,6242,561,292,487,0.327512892,0.370566777,0.698079669,0.08,0.657678781,1.81840796,0.975,1608,562,0.349502488,0.06,0.25,0.015,4.227184966,23307,0.073625949,0.678321678,0,1294.833333333,1.0,47.0,0,0.014150943,0.474056604,6230,0.267301669,0.01711932,0.002,0.013184881,4.234135667,33640,38.97026644,4020,0.008,4.649903462
Eastern League,2024,33403,8348,1465,173,506,3304,431,6731,658,344,528,0.322703843,0.349579379,0.672283222,0.08,0.656686627,1.674803836,0.975,1835,642,0.34986376,0.06,0.25,0.015,3.91189128,26490,0.057531144,0.828740157,0,1018.846153846,1.0,47.0,0,0.008474576,0.472457627,6759,0.255152888,0.014005285,0.002,0.015436004,3.91596829,37919,38.64903737,4588,0.008,4.303080408
Eastern League,2025,32844,8271,1444,212,467,2990,376,6765,699,289,467,0.319005455,0.351357934,0.67036339,0.08,0.707489879,1.667104687,0.975,1826,639,0.349945235,0.06,0.25,0.015,3.94918204,25857,0.05418262,0.811563169,0,994.5,1.0,47.0,0,0.006198347,0.537190083,6801,0.263023553,0.014000077,0.002,0.014089671,3.974242952,36927,38.55934563,4567,0.008,4.344100244
Unknown,2011,3541,835,130,24,50,299,36,698,55,42,63,0.300230947,0.328438294,0.628669241,0.08,0.567010309,1.348739496,0.975,190,66,0.347368421,0.06,0.25,0.015,4.156050955,2826,0.058386412,0.618181818,0,565.2,1.0,47.0,0,0.027777778,0.638888889,743,0.262915782,0.013800425,0.002,0.009868421,3.066878981,4085,39.02866242,477,0.008,4.571656051
Unknown,2012,3451,845,125,19,40,277,41,655,63,29,96,0.306536637,0.326861779,0.633398416,0.08,0.684782609,1.708333333,0.975,172,60,0.348837209,0.06,0.25,0.015,3.288840263,2742,0.029540481,1.148148148,0,0,1.0,47.0,0,0.042553191,0.446808511,691,0.252005835,0.015681984,0.002,0.011978917,3.633479212,3843,37.84135667,432,0.008,3.617724289
Unknown,2013,3431,897,137,29,37,301,31,610,41,38,100,0.324359989,0.350626639,0.674986629,0.08,0.518987342,1.697777778,0.975,180,62,0.344444444,0.06,0.25,0.015,3.889746417,2721,0.049614112,0.666666667,0,453.5,1.0,47.0,0,0.022222222,0.577777778,592,0.217567071,0.014332966,0.002,0.012316438,3.790518192,3908,38.7783903,450,0.008,4.278721058
Unknown,2014,3472,898,134,23,58,321,34,688,41,29,66,0.325539101,0.360599078,0.686138179,0.08,0.585714286,1.648760331,0.975,193,67,0.347150259,0.06,0.25,0.015,5.122767857,2688,0.078125,0.485714286,0,224.0,1.0,47.0,0,0.0,0.5,656,0.244047619,0.019345238,0.002,0.011,4.0078125,4028,40.45982143,484,0.008,5.635044643
Unknown,2015,3585,874,134,20,46,300,35,702,33,30,39,0.305689001,0.330822873,0.636511874,0.08,0.523809524,1.444015444,0.975,207,72,0.347826087,0.06,0.25,0.015,4.886266094,2796,0.090128755,0.547619048,0,559.2,1.0,47.0,0,0.0,0.393939394,684,0.244635193,0.020028612,0.002,0.016714422,3.611587983,4192,40.4806867,519,0.008,5.374892704
Unknown,2016,3835,952,149,20,64,360,59,711,46,28,68,0.320401963,0.347588005,0.667989968,0.08,0.621621622,1.494464945,0.975,216,75,0.347222222,0.06,0.25,0.015,5.158208955,3015,0.064676617,0.738461538,0,502.5,1.0,47.0,0,0.0,0.525,695,0.230514096,0.015920398,0.002,0.010850694,3.626865672,4456,39.90447761,543,0.008,5.674029851
Unknown,2017,3601,849,127,35,33,386,45,756,56,30,98,0.315115707,0.317967231,0.633082938,0.08,0.651162791,1.475471698,0.975,212,74,0.349056604,0.06,0.25,0.015,3.683076923,2925,0.064615385,0.428571429,0,417.857142857,1.0,47.0,0,0.02,0.52,790,0.27008547,0.016068376,0.002,0.013831259,3.609230769,4148,38.28923077,530,0.008,4.051384615
Unknown,2018,3718,859,150,37,45,365,42,815,43,31,85,0.30557567,0.327595481,0.633171151,0.08,0.581081081,1.418326693,0.975,200,70,0.35,0.06,0.25,0.015,3.708,3000,0.065,0.338461538,0,750.0,1.0,47.0,0,0.0,0.6,763,0.254333333,0.014,0.002,0.008237986,3.204,4210,37.89,503,0.008,4.0788
Western League,2008,14325,3629,705,122,221,1307,188,2632,317,143,423,0.321778448,0.365863874,0.687642322,0.08,0.689130435,2.098557692,0.975,665,232,0.34887218,0.06,0.25,0.015,4.095611285,11484,0.058516196,0.848214286,0,280.097560976,1.0,47.0,0,0.044554455,0.534653465,2633,0.229275514,0.013409962,0.002,0.011748757,4.105015674,16346,38.43103448,1664,0.008,4.505172414
Western League,2009,16104,4326,775,142,336,1583,200,3123,370,188,421,0.339049839,0.396982116,0.736031955,0.08,0.663082437,2.302564103,0.975,780,273,0.35,0.06,0.25,0.015,4.785731272,12615,0.079191439,0.600600601,0,394.21875,1.0,47.0,0,0.035555556,0.502222222,3139,0.248830757,0.016646849,0.002,0.013801096,4.804994055,18439,39.46516052,1951,0.008,5.2643044
Western League,2010,17330,4559,714,112,354,1764,199,3306,445,231,452,0.335752896,0.37847663,0.714229526,0.08,0.658284024,2.054327808,0.975,868,303,0.349078341,0.06,0.25,0.015,4.428634361,13620,0.078414097,0.558988764,0,289.787234043,1.0,47.0,0,0.03030303,0.480519481,3302,0.242437592,0.015932452,0.002,0.012798138,4.422687225,19885,39.41960352,2172,0.008,4.871497797
Western League,2011,14560,3688,542,111,199,1222,146,2905,341,185,377,0.315467648,0.346771978,0.662239626,0.08,0.648288973,1.699680511,0.975,751,262,0.348868176,0.06,0.25,0.015,3.473154362,11622,0.048270521,0.802139037,0,505.304347826,1.0,47.0,0,0.033018868,0.58490566,2834,0.243847875,0.014283256,0.002,0.011357118,3.70779556,16265,37.78652555,1878,0.008,3.820469799
Western League,2012,13855,3467,570,105,154,1115,126,2536,297,149,401,0.310001975,0.339877301,0.649879276,0.08,0.665919283,1.521785335,0.975,752,263,0.349734043,0.06,0.25,0.015,3.51962111,11085,0.044925575,0.819277108,0,615.833333333,1.0,47.0,0,0.062827225,0.570680628,2499,0.225439783,0.014253496,0.002,0.01064452,3.487956698,15591,37.97537212,1883,0.008,3.871583221
Western League,2013,13989,3713,576,105,233,1322,167,2474,335,187,378,0.33399679,0.371577668,0.705574458,0.08,0.641762452,2.089953271,0.975,684,239,0.349415205,0.06,0.25,0.015,4.360749186,11052,0.061074919,0.715555556,0,502.363636364,1.0,47.0,0,0.03,0.53,2505,0.226655809,0.012395946,0.002,0.011307997,4.370521173,15931,38.91938111,1713,0.008,4.796824104
Western League,2014,14105,3752,589,105,267,1337,152,2766,297,140,324,0.333587932,0.379439915,0.713027847,0.08,0.679633867,2.124413146,0.975,681,238,0.34948605,0.06,0.25,0.015,4.126424308,11058,0.0678242,0.608,0,394.928571429,1.0,47.0,0,0.03255814,0.465116279,2803,0.253481642,0.014921324,0.002,0.014109986,4.419424851,15898,38.81768855,1705,0.008,4.539066739
Western League,2015,14537,3742,631,92,299,1285,173,2948,224,159,308,0.322901143,0.375180574,0.698081716,0.08,0.584856397,1.870229008,0.975,733,256,0.349249659,0.06,0.25,0.015,3.721875,11520,0.069270833,0.609022556,0,576.0,1.0,47.0,0,0.026548673,0.504424779,2985,0.259114583,0.015885417,0.002,0.012715819,4.01953125,16213,37.99921875,1834,0.008,4.0940625
Western League,2016,15236,4035,702,142,276,1444,167,2974,358,199,285,0.332842068,0.38389341,0.716735478,0.08,0.642728905,2.021233569,0.975,791,276,0.348925411,0.06,0.25,0.015,4.057321652,11985,0.067083855,0.641791045,0,599.25,1.0,47.0,0,0.017391304,0.408695652,3008,0.250980392,0.01760534,0.002,0.012873155,4.503379224,17126,38.58172716,1979,0.008,4.463053817
Western League,2017,15351,3941,723,126,283,1507,125,3202,317,153,309,0.325639827,0.375545567,0.701185394,0.08,0.674468085,1.904618474,0.975,796,278,0.349246231,0.06,0.25,0.015,4.216456635,12141,0.06276254,0.570866142,0,391.64516129,1.0,47.0,0,0.013953488,0.562790698,3177,0.261675315,0.017873322,0.002,0.014654883,4.218680504,17436,38.77538918,1993,0.008,4.638102298
Western League,2018,14994,3789,629,147,266,1446,152,3066,434,236,213,0.3224783,0.367480325,0.689958625,0.08,0.647761194,1.873150106,0.975,756,264,0.349206349,0.06,0.25,0.015,3.831415708,11994,0.062531266,0.688,0,571.142857143,1.0,47.0,0,0.013888889,0.513888889,3125,0.26054694,0.01825913,0.002,0.01265681,3.988994497,16933,38.11830915,1893,0.008,4.214557279
Western League,2019,19489,4817,847,178,326,1696,197,4074,542,312,300,0.31203497,0.35907435,0.67110932,0.08,0.634660422,1.763116057,0.975,1006,352,0.349900596,0.06,0.25,0.015,3.878770302,15516,0.0645785,0.595808383,0,596.769230769,1.0,47.0,0,0.025179856,0.528776978,4072,0.262438773,0.018368136,0.002,0.010662472,3.85962877,21810,37.95243619,2517,0.008,4.266647332
Western League,2020,13103,3315,624,113,207,1313,128,2810,297,192,161,0.324796831,0.365259864,0.690056695,0.08,0.607361963,1.773033708,0.975,712,249,0.349719101,0.06,0.25,0.015,4.129473378,10311,0.060226942,0.632850242,0,368.25,1.0,47.0,0,0.005494505,0.549450549,2813,0.27281544,0.021627388,0.002,0.01319824,4.132091941,14799,38.7521094,1781,0.008,4.542420716
Western League,2021,17333,4218,806,165,293,1703,185,3926,412,217,222,0.315816696,0.359603069,0.675419765,0.08,0.655007949,1.689569536,0.975,966,338,0.34989648,0.06,0.25,0.015,4.03069889,13779,0.064663619,0.616161616,0,574.125,1.0,47.0,0,0.027559055,0.496062992,3921,0.284563466,0.019595036,0.002,0.011468588,3.999346832,19572,38.35140431,2417,0.008,4.433768779
