YEAR,coefficient,cashmaximum,avgcoach,minplayer,superstar,star,good,aboveavg,avg,belowavg,fair,poor,media,NPBAvgAttend,SuggTicket
1936,1.02,50000,2500,800,12000,8000,5000,3500,2000,1200,900,800,5000,3500,0.25
1937,1.02,52000,2600,850,12500,8300,5200,3650,2100,1260,945,840,5250,3800,0.26
1938,1.02,54000,2700,900,13000,8600,5400,3800,2200,1320,990,880,5500,4000,0.27
1939,1.02,56000,2800,950,13500,8900,5600,3950,2300,1380,1035,920,5750,4200,0.28
1940,1.02,58000,2900,1000,14000,9200,5800,4100,2400,1440,1080,960,6000,4300,0.29
1941,1.02,60000,3000,1050,14500,9500,6000,4250,2500,1500,1125,1000,6250,4400,0.30
1942,1.02,62000,3100,1100,15000,9800,6200,4400,2600,1560,1170,1040,6500,4441,0.31
1943,1.02,64000,3200,1150,15500,10100,6400,4550,2700,1620,1215,1080,6750,4894,0.32
1944,1.02,66000,3300,1200,16000,10400,6600,4700,2800,1680,1260,1120,7000,3771,0.33
1945,1.02,68000,3400,1250,16500,10700,6800,4850,2900,1740,1305,1160,7250,2000,0.34
1946,1.02,70000,3500,1300,17000,11000,7000,5000,3000,1800,1350,1200,7500,7590,0.35
1947,1.02,75000,3700,1400,18000,11500,7500,5300,3200,1920,1440,1280,8000,9353,0.37
1948,1.02,80000,3900,1500,19000,12000,8000,5600,3400,2040,1530,1360,8500,10349,0.39
1949,1.02,85000,4100,1600,20000,12500,8500,5900,3600,2160,1620,1440,9000,11728,0.41
1950,1.02,100000,5000,2000,25000,16000,10000,7000,4500,2700,2000,1800,12000,10936,0.50
1951,1.02,105000,5200,2100,26500,17000,10600,7400,4750,2850,2100,1890,12600,12488,0.52
1952,1.02,110000,5400,2200,28000,18000,11200,7800,5000,3000,2200,1980,13200,9327,0.54
1953,1.02,115000,5600,2300,29500,19000,11800,8200,5250,3150,2300,2070,13800,11775,0.56
1954,1.02,120000,5800,2400,31000,20000,12400,8600,5500,3300,2400,2160,14400,9354,0.58
1955,1.02,130000,6200,2600,34000,22000,13600,9400,6000,3600,2600,2340,15600,9497,0.62
1956,1.02,140000,6600,2800,37000,24000,14800,10200,6500,3900,2800,2520,16800,10244,0.66
1957,1.02,150000,7000,3000,40000,26000,16000,11000,7000,4200,3000,2700,18000,13540,0.70
1958,1.02,160000,7400,3200,43000,28000,17200,11800,7500,4500,3200,2880,19200,15205,0.74
1959,1.02,170000,7800,3400,46000,30000,18400,12600,8000,4800,3400,3060,20400,13101,0.78
1960,1.02,180000,8200,3600,50000,32000,19600,13400,8500,5100,3600,3240,21600,12706,0.82
1961,1.02,195000,8800,3900,55000,35000,21400,14600,9200,5520,3900,3510,23400,13932,0.88
1962,1.02,210000,9400,4200,60000,38000,23200,15800,9900,5940,4200,3780,25200,15469,0.94
1963,1.02,225000,10000,4500,65000,41000,25000,17000,10600,6360,4500,4050,27000,13705,1.00
1964,1.02,240000,10600,4800,70000,44000,26800,18200,11300,6780,4800,4320,28800,13761,1.06
1965,1.02,260000,11400,5200,77000,48000,29200,19800,12300,7380,5200,4680,31200,11744,1.14
1966,1.02,280000,12200,5600,84000,52000,31600,21400,13300,7980,5600,5040,33600,12015,1.22
1967,1.02,300000,13000,6000,91000,56000,34000,23000,14300,8580,6000,5400,36000,11190,1.30
1968,1.02,325000,14000,6500,100000,61000,37000,25000,15500,9300,6500,5850,39000,12410,1.40
1969,1.02,350000,15000,7000,110000,67000,40000,27000,16700,10020,7000,6300,42000,13580,1.50
1970,1.02,400000,17000,8000,125000,76000,46000,31000,19200,11520,8000,7200,48000,12996,1.70
1971,1.02,430000,18200,8600,135000,82000,50000,33500,20700,12420,8600,7740,51600,12306,1.82
1972,1.03,480000,20000,9500,150000,91000,55000,37000,22900,13740,9500,8550,57000,12149,2.00
1973,1.04,540000,22000,10500,170000,103000,62000,42000,25900,15540,10500,9450,66000,16134,2.20
1974,1.05,620000,25000,12000,195000,118000,72000,48000,29700,17820,12000,10800,78000,15665,2.50
1975,1.04,700000,28000,13500,220000,133000,81000,54000,33400,20040,13500,12150,87000,17612,2.80
1976,1.03,770000,30500,14800,242000,146000,89000,59000,36500,21900,14800,13320,95000,16957,3.05
1977,1.03,840000,33000,16000,264000,160000,97000,65000,40000,24000,16000,14400,105000,18315,3.30
1978,1.03,900000,35000,17000,283000,171000,104000,69000,42600,25560,17000,15300,112000,19053,3.50
1979,1.03,960000,37000,18000,302000,183000,111000,74000,45700,27420,18000,16200,119000,20898,3.70
1980,1.03,1050000,40000,19500,330000,200000,121000,81000,50000,30000,19500,17550,130000,21166,4.00
1981,1.03,1120000,42500,20800,352000,213000,129000,86000,53100,31860,20800,18720,138000,20550,4.25
1982,1.02,1190000,45000,22000,374000,226000,137000,92000,56800,34080,22000,19800,146000,20479,4.50
1983,1.02,1260000,47500,23200,396000,240000,145000,97000,59900,35940,23200,20880,154000,19858,4.75
1984,1.02,1340000,50000,24500,420000,254000,154000,103000,63600,38160,24500,22050,163000,20751,5.00
1985,1.02,1450000,54000,26500,455000,275000,167000,111000,68500,41100,26500,23850,175000,20739,5.40
1986,1.03,1600000,59000,29000,500000,302000,183000,122000,75300,45180,29000,26100,191000,22726,5.90
1987,1.04,1800000,66000,32500,565000,342000,207000,138000,85200,51120,32500,29250,216000,24376,6.60
1988,1.03,2000000,73000,36000,625000,378000,229000,153000,94400,56640,36000,32400,239000,26523,7.30
1989,1.03,2250000,81000,40000,700000,424000,257000,171000,105500,63300,40000,36000,267000,26797,8.10
1990,1.03,2550000,91000,45000,795000,481000,291000,194000,119700,71820,45000,40500,303000,26372,9.10
1991,1.02,2800000,99000,49000,870000,527000,319000,213000,131400,78840,49000,44100,333000,28071,9.90
1992,1.01,2950000,103000,51000,915000,554000,335000,224000,138200,82920,51000,45900,351000,29847,10.30
1993,1.01,3050000,106000,52500,945000,572000,346000,231000,142500,85500,52500,47250,363000,29053,10.60
1994,1.01,3150000,109000,54000,975000,590000,357000,238000,146800,88080,54000,48600,375000,29094,10.90
1995,1.01,3250000,112000,55500,1005000,608000,368000,246000,151800,91080,55500,49950,387000,28157,11.20
1996,1.01,3350000,115000,57000,1035000,627000,379000,253000,156100,93660,57000,51300,399000,27051,11.50
1997,1.01,3450000,118000,58500,1065000,645000,390000,260000,160400,96240,58500,52650,411000,28958,11.80
1998,1.00,3450000,118000,58500,1065000,645000,390000,260000,160400,96240,58500,52650,411000,26797,11.80
1999,1.00,3450000,118000,58500,1065000,645000,390000,260000,160400,96240,58500,52650,411000,27640,11.80
2000,1.00,3500000,120000,60000,1100000,666000,403000,269000,166000,99600,60000,54000,420000,27636,12.00
2001,1.00,3500000,120000,60000,1100000,666000,403000,269000,166000,99600,60000,54000,420000,27289,12.00
2002,1.00,3500000,120000,60000,1100000,666000,403000,269000,166000,99600,60000,54000,420000,27326,12.00
