playerID,awardID,yearID,lgID,tie,notes,
starfvi01,MVP,1939,AL,,,
starfvi01,MVP,1940,AL,,,
karithi01,Silver Slugger,1940,AL,,2B,
kawakte01,Silver Slugger,1940,AL,,1B,
kitoka02,Silver Slugger,1940,AL,,OF,
mizuhsh01,Silver Slugger,1940,AL,,3B,
nakajha02,Silver Slugger,1940,AL,,OF,
starfvi01,Silver Slugger,1940,AL,,P,
tanakyo03,Silver Slugger,1940,AL,,C,
uedafu01,Silver Slugger,1940,AL,,SS,
yamadde01,Silver Slugger,1940,AL,,OF,
kawakte01,MVP,1941,AL,,,
mizuhsh01,MVP,1942,AL,,,
gosh01,MVP,1943,AL,,,
wakabta02,MVP,1944,AL,,,
yamamka11,MVP,1946,AL,,,
besshta01,Cy Young Award,1947,AL,,,
wakabta02,MVP,1947,AL,,,
besshta01,Silver Slugger,1947,AL,,P,
chibash01,Silver Slugger,1947,AL,,2B,
doigata01,Silver Slugger,1947,AL,,C,
fujimfu01,Silver Slugger,1947,AL,,3B,
kanedma03,Silver Slugger,1947,AL,,OF,
kawakte01,Silver Slugger,1947,AL,,1B,
oshithi01,Silver Slugger,1947,AL,,OF,
sugiuki01,Silver Slugger,1947,AL,,SS,
tsubomi01,Silver Slugger,1947,AL,,OF,
nakaohi02,Cy Young Award,1948,AL,,,
yamamka11,MVP,1948,AL,,,
aotano01,Silver Slugger,1948,AL,,OF,
besshta01,Silver Slugger,1948,AL,,P,
bettoka01,Silver Slugger,1948,AL,,OF,
chibash01,Silver Slugger,1948,AL,,2B,
doigata01,Silver Slugger,1948,AL,,C,
fujimfu01,Silver Slugger,1948,AL,,3B,
kawakte01,Silver Slugger,1948,AL,,1B,
kizukta01,Silver Slugger,1948,AL,,SS,
nakaohi02,Silver Slugger,1948,AL,,P,
sanadju01,Silver Slugger,1948,AL,,P,
tsubomi01,Silver Slugger,1948,AL,,OF,
fujimhi02,Cy Young Award,1949,AL,,,
fujimfu01,MVP,1949,AL,,,
bettoka01,Silver Slugger,1949,AL,,OF,
chibash01,Silver Slugger,1949,AL,,2B,
doigata01,Silver Slugger,1949,AL,,C,
fujimfu01,Silver Slugger,1949,AL,,3B,
fujimhi02,Silver Slugger,1949,AL,,P,
kawakte01,Silver Slugger,1949,AL,,1B,
kizukta01,Silver Slugger,1949,AL,,SS,
kozurma01,Silver Slugger,1949,AL,,OF,
oshithi01,Silver Slugger,1949,AL,,OF,
sanadju01,Cy Young Award,1950,AL,,,
bettoka01,MVP,1950,NL,,,
kozurma01,MVP,1950,AL,,,
aramaat01,Rookie of the Year,1950,NL,,,
oshimno01,Rookie of the Year,1950,AL,,,
aotano01,Silver Slugger,1950,AL,,OF,
arakash02,Silver Slugger,1950,AL,,C,
aramaat01,Silver Slugger,1950,NL,,P,
bettoka01,Silver Slugger,1950,NL,,OF,
chibash01,Silver Slugger,1950,AL,,2B,
doigata01,Silver Slugger,1950,NL,,C,
fujimfu01,Silver Slugger,1950,AL,,3B,
hondoya01,Silver Slugger,1950,NL,,2B,
iidato01,Silver Slugger,1950,NL,,1B,
iijimsh01,Silver Slugger,1950,NL,,1B,
iwamoyo02,Silver Slugger,1950,AL,,OF,
kizukta01,Silver Slugger,1950,NL,,SS,
kozurma01,Silver Slugger,1950,AL,,OF,
nakatju01,Silver Slugger,1950,NL,,3B,
nishimi07,Silver Slugger,1950,AL,,1B,
oshithi01,Silver Slugger,1950,NL,,OF,
sanadju01,Silver Slugger,1950,AL,,P,
shiraka03,Silver Slugger,1950,AL,,SS,
sugissh01,Cy Young Award,1951,AL,,,
kawakte01,MVP,1951,AL,,,
yamamka11,MVP,1951,NL,,,
kageyka01,Rookie of the Year,1951,NL,,,
matsuki03,Rookie of the Year,1951,AL,,,
aotano01,Silver Slugger,1951,AL,,OF,
besshta01,Silver Slugger,1951,AL,,P,
bettoka01,Silver Slugger,1951,NL,,OF,
chibash01,Silver Slugger,1951,AL,,2B,
doigata01,Silver Slugger,1951,NL,,C,
etoha01,Silver Slugger,1951,NL,,P,
fujimfu01,Silver Slugger,1951,AL,,3B,
hiraisa01,Silver Slugger,1951,AL,,SS,
iidato01,Silver Slugger,1951,NL,,1B,
iijimsh01,Silver Slugger,1951,NL,,OF,
iwamoyo02,Silver Slugger,1951,AL,,OF,
kageyka01,Silver Slugger,1951,NL,,3B,
kanedma03,Silver Slugger,1951,AL,,OF,
kawakte01,Silver Slugger,1951,AL,,1B,
kizukta01,Silver Slugger,1951,NL,,SS,
nogucak01,Silver Slugger,1951,AL,,C,
oshithi01,Silver Slugger,1951,NL,,OF,
yamamka11,Silver Slugger,1951,NL,,2B,
sugissh01,Cy Young Award,1952,AL,,,
besshta01,MVP,1952,AL,,,
yukisu01,MVP,1952,NL,,,
nakanfu01,Rookie of the Year,1952,NL,,,
satota07,Rookie of the Year,1952,AL,,,
besshta01,Silver Slugger,1952,AL,,P,
bettoka01,Silver Slugger,1952,NL,,OF,
chibash01,Silver Slugger,1952,AL,,2B,
doigata01,Silver Slugger,1952,NL,,C,
fujimfu01,Silver Slugger,1952,AL,,3B,
hiraisa01,Silver Slugger,1952,AL,,SS,
iidato01,Silver Slugger,1952,NL,,1B,
iijimsh01,Silver Slugger,1952,NL,,OF,
kageyka01,Silver Slugger,1952,NL,,3B,
kizukta01,Silver Slugger,1952,NL,,SS,
minamyu01,Silver Slugger,1952,AL,,OF,
nishimi07,Silver Slugger,1952,AL,,1B,
nogucak01,Silver Slugger,1952,AL,,C,
okamois01,Silver Slugger,1952,NL,,2B,
oshithi01,Silver Slugger,1952,NL,,OF,
sugiysa01,Silver Slugger,1952,AL,,OF,
yonamka01,Silver Slugger,1952,AL,,OF,
yukisu01,Silver Slugger,1952,NL,,P,
otomoko01,Cy Young Award,1953,AL,,,
okamois01,MVP,1953,NL,,,
otomoko01,MVP,1953,AL,,,
gondoma01,Rookie of the Year,1953,AL,,,
toyodya01,Rookie of the Year,1953,NL,,,
bettoka01,Silver Slugger,1953,NL,,OF,
chibash01,Silver Slugger,1953,AL,,2B,
hiraisa01,Silver Slugger,1953,AL,,SS,
hirotju01,Silver Slugger,1953,AL,,C,
horiika02,Silver Slugger,1953,NL,,OF,
iidato01,Silver Slugger,1953,NL,,1B,
kanedma03,Silver Slugger,1953,AL,,OF,
kawakte01,Silver Slugger,1953,AL,,1B,
kawasto02,Silver Slugger,1953,NL,,P,
kizukta01,Silver Slugger,1953,NL,,SS,
matsuat01,Silver Slugger,1953,NL,,C,
minamyu01,Silver Slugger,1953,AL,,OF,
nakanfu01,Silver Slugger,1953,NL,,3B,
okamois01,Silver Slugger,1953,NL,,2B,
oshithi01,Silver Slugger,1953,NL,,1B,
