playerID,yearID,round,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GDP
arakash02,1950,WS,SKR,AL,6,23,9,1,0,0,0,1,0,0,4,2,0,0,0,0,0
aramaat01,1950,WS,LTO,NL,3,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0
bettoka01,1950,WS,LTO,NL,6,24,12,3,0,0,0,0,0,0,5,0,0,0,0,0,0
doigata01,1950,WS,LTO,NL,6,23,5,3,0,0,0,1,0,0,4,1,0,0,0,0,0
edata01,1950,WS,SKR,AL,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
gosh01,1950,WS,LTO,NL,6,22,4,4,0,0,0,3,0,0,5,1,0,0,0,0,0
hiranke03,1950,WS,SKR,AL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hondoya01,1950,WS,LTO,NL,6,22,6,3,0,0,0,3,0,0,5,0,0,0,0,0,0
imakuis01,1950,WS,LTO,NL,5,9,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
itosh03,1950,WS,LTO,NL,6,22,4,3,0,0,0,1,0,0,0,2,0,0,0,0,0
iwamoyo02,1950,WS,SKR,AL,6,25,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0
izutske01,1950,WS,SKR,AL,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanayji01,1950,WS,SKR,AL,6,26,7,1,0,0,0,3,0,0,3,0,0,0,0,0,0
kataohi02,1950,WS,LTO,NL,6,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
kimurts01,1950,WS,SKR,AL,6,23,5,2,0,0,0,1,0,0,0,2,0,0,0,0,0
kochita01,1950,WS,LTO,NL,6,28,6,0,0,0,0,2,0,0,2,0,0,0,0,0,0
kozurma01,1950,WS,SKR,AL,6,23,4,2,0,0,0,3,0,0,4,0,0,0,0,0,0
mimuris01,1950,WS,SKR,AL,6,27,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0
miyakta02,1950,WS,LTO,NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miyazji01,1950,WS,SKR,AL,6,16,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0
nagassu01,1950,WS,LTO,NL,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nishiyu07,1950,WS,LTO,NL,4,8,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0
nomurta02,1950,WS,LTO,NL,4,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
okudage01,1950,WS,LTO,NL,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ookato01,1950,WS,SKR,AL,6,26,3,5,0,0,0,2,0,0,1,0,0,0,0,0,0
oshimno01,1950,WS,SKR,AL,4,11,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sanadju01,1950,WS,SKR,AL,5,8,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
satohe01,1950,WS,LTO,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shiraha01,1950,WS,LTO,NL,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
