playerID,yearID,stint,Glf,Gcf,Grf
aaburxx01,2014,1,,,4
aquinar01,2023,1,10,,6
alcanar01,2022,1,9,3,3
alcanar01,2023,1,8,3,3
baldiaa01,2009,1,,,1
abeka03,1964,1,1,,
abeke03,1984,1,,1,
abeke04,1973,1,2,,
abeke04,1974,1,2,,
abena01,1965,1,1,,
abena01,1967,1,2,,1
abena01,1971,1,,1,1
abena01,1974,1,,10,
abena01,1975,1,,112,
abena01,1976,1,31,64,7
abena01,1977,1,6,11,10
abena01,1978,1,1,,2
abena01,1979,1,,5,31
abena01,1980,1,2,,5
abena01,1981,1,,,1
abeos01,1985,1,3,,
abeos01,1987,1,28,,12
abeos01,1988,1,44,,
abeos01,1989,1,5,,
abeos01,1990,1,16,,
abeos01,1991,1,12,,
abeos01,1992,1,56,,
abeos01,1993,1,27,,
abeos01,1994,1,55,,
abeos01,1995,1,4,,
abeos01,1996,1,1,,
abeos01,1997,1,11,,
abeos01,1998,1,4,,
abeto01,2022,1,7,,
abeto01,2023,1,12,,
abeto01,2024,1,30,,
abeto01,2025,1,20,,
abeto02,2012,1,1,,
abeyo01,1969,1,3,23,43
abeyo01,1970,1,22,5,15
abeyo01,1971,1,2,17,43
abeyo01,1972,1,1,86,3
abeyo01,1973,1,,13,2
abeyo01,1974,1,1,1,
adachmi01,1962,1,1,,
adachmi01,1964,1,1,,
adachmi01,1965,1,2,,1
adachmi01,1966,1,,,3
adachmi01,1967,1,,,1
adachmi01,1970,1,1,1,
adachmi01,1975,1,,2,
adachmi01,1977,1,1,,
adachto01,1992,1,,,4
adachwa01,1991,1,2,,3
adachwa01,1992,1,1,,
adamuh01,2007,1,3,,25
despaal01,2014,1,19,,
despaal01,2015,1,8,,
despaal01,2016,1,7,,
despaal01,2017,1,3,,
despaal01,2018,1,4,,
despaal01,2019,1,10,,
despaal01,2020,1,4,,
dickeal01,2024,1,26,,
echevan01,2003,1,64,,
echevan01,2004,1,63,,3
phillan01,2009,1,69,,
phillan01,2010,1,1,,
gardnar01,1981,1,127,,
gardnar01,1982,1,53,,2
guielaa01,2007,1,,1,141
guielaa01,2008,1,,,56
guielaa01,2009,1,,,117
guielaa01,2010,1,,,64
guielaa01,2011,1,8,,
garcian01,2024,1,5,,
agatama01,1965,1,,,1
agatama01,1966,1,,,1
guerral01,2017,1,89,,
guerral01,2017,2,1,,
guerral01,2018,1,76,,
guerral01,2019,1,82,,
gomezal01,2014,1,,,1
garread01,1977,1,57,,
