BBrefID,yearID,round,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
arakash02,1950,WS,SKR,AL,C,6,0,0,0,0,0,0,0,0,0,0
aramaat01,1950,WS,LTO,NL,P,1,0,0,0,0,0,0,0,0,0,0
bettoka01,1950,WS,LTO,NL,CF,6,0,0,0,0,0,0,0,0,0,0
doigata01,1950,WS,LTO,NL,C,6,0,0,0,0,0,0,0,0,0,0
edata01,1950,WS,SKR,AL,P,2,0,0,0,0,0,0,0,0,0,0
gosh01,1950,WS,LTO,NL,RF,2,0,0,0,0,0,0,0,0,0,0
gosh01,1950,WS,LTO,NL,LF,4,0,0,0,0,0,0,0,0,0,0
hondoya01,1950,WS,LTO,NL,2B,6,0,0,0,0,0,0,0,0,0,0
imakuis01,1950,WS,LTO,NL,SS,2,0,0,0,0,0,0,0,0,0,0
itosh03,1950,WS,LTO,NL,RF,4,0,0,0,0,0,0,0,0,0,0
iwamoyo02,1950,WS,SKR,AL,RF,6,0,0,0,0,0,0,0,0,0,0
kanayji01,1950,WS,SKR,AL,2B,6,0,0,0,0,0,0,0,0,0,0
kataohi02,1950,WS,LTO,NL,1B,3,0,0,0,0,0,0,0,0,0,0
kimurts01,1950,WS,SKR,AL,LF,4,0,0,0,0,0,0,0,0,0,0
kochita01,1950,WS,LTO,NL,3B,6,0,0,0,0,0,0,0,0,0,0
kozurma01,1950,WS,SKR,AL,CF,6,0,0,0,0,0,0,0,0,0,0
mimuris01,1950,WS,SKR,AL,3B,6,0,0,0,0,0,0,0,0,0,0
miyazji01,1950,WS,SKR,AL,SS,6,0,0,0,0,0,0,0,0,0,0
nishiyu07,1950,WS,LTO,NL,1B,3,0,0,0,0,0,0,0,0,0,0
nomurta02,1950,WS,LTO,NL,P,2,0,0,0,0,0,0,0,0,0,0
okudage01,1950,WS,LTO,NL,SS,4,0,0,0,0,0,0,0,0,0,0
ookato01,1950,WS,SKR,AL,1B,6,0,0,0,0,0,0,0,0,0,0
oshimno01,1950,WS,SKR,AL,P,2,0,0,0,0,0,0,0,0,0,0
sanadju01,1950,WS,SKR,AL,P,2,0,0,0,0,0,0,0,0,0,0
satohe01,1950,WS,LTO,NL,P,1,0,0,0,0,0,0,0,0,0,0
tokurka01,1950,WS,LTO,NL,LF,2,0,0,0,0,0,0,0,0,0,0
wakabta02,1950,WS,LTO,NL,P,2,0,0,0,0,0,0,0,0,0,0
yoshika09,1950,WS,SKR,AL,LF,2,0,0,0,0,0,0,0,0,0,0
aotano01,1951,WS,YMG,AL,CF,5,0,0,0,0,0,0,0,0,0,0
besshta01,1951,WS,YMG,AL,P,1,0,0,0,0,0,0,0,0,0,0
chibash01,1951,WS,YMG,AL,2B,5,0,0,0,0,0,0,0,0,0,0
etouse01,1951,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
fujimhi02,1951,WS,YMG,AL,P,2,0,0,0,0,0,0,0,0,0,0
hattota01,1951,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
higaska01,1951,WS,YMG,AL,LF,1,0,0,0,0,0,0,0,0,0,0
hiraisa01,1951,WS,YMG,AL,SS,5,0,0,0,0,0,0,0,0,0,0
horiika02,1951,WS,SBH,NL,LF,5,0,0,0,0,0,0,0,0,0,0
iidato01,1951,WS,SBH,NL,1B,5,0,0,0,0,0,0,0,0,0,0
kageyka01,1951,WS,SBH,NL,3B,5,0,0,0,0,0,0,0,0,0,0
kasahka01,1951,WS,SBH,NL,RF,4,0,0,0,0,0,0,0,0,0,0
kawakte01,1951,WS,YMG,AL,1B,5,0,0,0,0,0,0,0,0,0,0
kizukta01,1951,WS,SBH,NL,SS,5,0,0,0,0,0,0,0,0,0,0
kurodka01,1951,WS,SBH,NL,CF,5,0,0,0,0,0,0,0,0,0,0
kusunky01,1951,WS,YMG,AL,C,5,0,0,0,0,0,0,0,0,0,0
matsuat02,1951,WS,SBH,NL,C,1,0,0,0,0,0,0,0,0,0,0
matsuki03,1951,WS,YMG,AL,P,1,0,0,0,0,0,0,0,0,0,0
matsuno06,1951,WS,SBH,NL,RF,1,0,0,0,0,0,0,0,0,0,0
minamyu01,1951,WS,YMG,AL,RF,5,0,0,0,0,0,0,0,0,0,0
nakahhi02,1951,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
nakaohi02,1951,WS,YMG,AL,P,1,0,0,0,0,0,0,0,0,0,0
tsutske01,1951,WS,SBH,NL,C,4,0,0,0,0,0,0,0,0,0,0
unomi01,1951,WS,YMG,AL,3B,5,0,0,0,0,0,0,0,0,0,0
yamamka11,1951,WS,SBH,NL,2B,5,0,0,0,0,0,0,0,0,0,0
yonamka01,1951,WS,YMG,AL,LF,4,0,0,0,0,0,0,0,0,0,0
yukisu01,1951,WS,SBH,NL,P,2,0,0,0,0,0,0,0,0,0,0
aotano01,1952,WS,YMG,AL,CF,6,0,0,0,0,0,0,0,0,0,0
besshta01,1952,WS,YMG,AL,P,2,0,0,0,0,0,0,0,0,0,0
chibash01,1952,WS,YMG,AL,2B,6,0,0,0,0,0,0,0,0,0,0
etouse01,1952,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
fujimhi02,1952,WS,YMG,AL,P,3,0,0,0,0,0,0,0,0,0,0
hattota01,1952,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
hiraisa01,1952,WS,YMG,AL,SS,6,0,0,0,0,0,0,0,0,0,0
hirotju01,1952,WS,YMG,AL,C,5,0,0,0,0,0,0,0,0,0,0
horiika02,1952,WS,SBH,NL,LF,6,0,0,0,0,0,0,0,0,0,0
iidato01,1952,WS,SBH,NL,1B,6,0,0,0,0,0,0,0,0,0,0
kageyka01,1952,WS,SBH,NL,3B,6,0,0,0,0,0,0,0,0,0,0
kasahka01,1952,WS,SBH,NL,RF,1,0,0,0,0,0,0,0,0,0,0
kawakte01,1952,WS,YMG,AL,1B,6,0,0,0,0,0,0,0,0,0,0
kizukta01,1952,WS,SBH,NL,SS,4,0,0,0,0,0,0,0,0,0,0
kurodka01,1952,WS,SBH,NL,CF,3,0,0,0,0,0,0,0,0,0,0
kusunky01,1952,WS,YMG,AL,C,1,0,0,0,0,0,0,0,0,0,0
matsuat02,1952,WS,SBH,NL,C,1,0,0,0,0,0,0,0,0,0,0
minamyu01,1952,WS,YMG,AL,RF,6,0,0,0,0,0,0,0,0,0,0
minohhi01,1952,WS,SBH,NL,RF,1,0,0,0,0,0,0,0,0,0,0
minohhi01,1952,WS,SBH,NL,CF,3,0,0,0,0,0,0,0,0,0,0
morisno01,1952,WS,SBH,NL,SS,2,0,0,0,0,0,0,0,0,0,0
nakahhi02,1952,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
ogamita01,1952,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
okamois01,1952,WS,SBH,NL,2B,6,0,0,0,0,0,0,0,0,0,0
ootomko01,1952,WS,YMG,AL,P,1,0,0,0,0,0,0,0,0,0,0
shimate02,1952,WS,SBH,NL,RF,4,0,0,0,0,0,0,0,0,0,0
tsutske01,1952,WS,SBH,NL,C,5,0,0,0,0,0,0,0,0,0,0
unomi01,1952,WS,YMG,AL,3B,6,0,0,0,0,0,0,0,0,0,0
yonamka01,1952,WS,YMG,AL,LF,6,0,0,0,0,0,0,0,0,0,0
yukisu01,1952,WS,SBH,NL,P,2,0,0,0,0,0,0,0,0,0,0
besshta01,1953,WS,YMG,AL,P,2,0,0,0,0,0,0,0,0,0,0
chibash01,1953,WS,YMG,AL,2B,7,0,0,0,0,0,0,0,0,0,0
fujimhi02,1953,WS,YMG,AL,P,2,0,0,0,0,0,0,0,0,0,0
higaska01,1953,WS,YMG,AL,LF,2,0,0,0,0,0,0,0,0,0,0
hiraisa01,1953,WS,YMG,AL,SS,7,0,0,0,0,0,0,0,0,0,0
hirotju01,1953,WS,YMG,AL,C,7,0,0,0,0,0,0,0,0,0,0
horiika02,1953,WS,SBH,NL,LF,7,0,0,0,0,0,0,0,0,0,0
iidato01,1953,WS,SBH,NL,1B,7,0,0,0,0,0,0,0,0,0,0
iritama01,1953,WS,YMG,AL,P,1,0,0,0,0,0,0,0,0,0,0
iwamota02,1953,WS,YMG,AL,LF,5,0,0,0,0,0,0,0,0,0,0
kageyka01,1953,WS,SBH,NL,3B,7,0,0,0,0,0,0,0,0,0,0
kashibu01,1953,WS,YMG,AL,3B,4,0,0,0,0,0,0,0,0,0,0
kawakte01,1953,WS,YMG,AL,1B,7,0,0,0,0,0,0,0,0,0,0
kizukta01,1953,WS,SBH,NL,SS,6,0,0,0,0,0,0,0,0,0,0
kurodka01,1953,WS,SBH,NL,CF,2,0,0,0,0,0,0,0,0,0,0
matsuat02,1953,WS,SBH,NL,C,5,0,0,0,0,0,0,0,0,0,0
minamyu01,1953,WS,YMG,AL,RF,7,0,0,0,0,0,0,0,0,0,0
minohhi01,1953,WS,SBH,NL,CF,5,0,0,0,0,0,0,0,0,0,0
morisno01,1953,WS,SBH,NL,SS,1,0,0,0,0,0,0,0,0,0,0
nakahhi02,1953,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
nakamta06,1953,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
nakatno01,1953,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
obatama01,1953,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
ogamita01,1953,WS,SBH,NL,P,2,0,0,0,0,0,0,0,0,0,0
okamois01,1953,WS,SBH,NL,2B,7,0,0,0,0,0,0,0,0,0,0
ootomko01,1953,WS,YMG,AL,P,2,0,0,0,0,0,0,0,0,0,0
shimate02,1953,WS,SBH,NL,RF,7,0,0,0,0,0,0,0,0,0,0
tsutske01,1953,WS,SBH,NL,C,2,0,0,0,0,0,0,0,0,0,0
unomi01,1953,WS,YMG,AL,3B,3,0,0,0,0,0,0,0,0,0,0
yonamka01,1953,WS,YMG,AL,CF,7,0,0,0,0,0,0,0,0,0,0
yukisu01,1953,WS,SBH,NL,P,1,0,0,0,0,0,0,0,0,0,0
haradto02,1954,WS,CHD,AL,RF,5,0,0,0,0,0,0,0,0,0,0
haradto02,1954,WS,CHD,AL,LF,2,0,0,0,0,0,0,0,0,0,0
hattots02,1954,WS,CHD,AL,RF,1,0,0,0,0,0,0,0,0,0,0
hibinta01,1954,WS,SBL,NL,C,7,0,0,0,0,0,0,0,0,0,0
hondait01,1954,WS,CHD,AL,CF,7,0,0,0,0,0,0,0,0,0,0
imakusu01,1954,WS,SBL,NL,2B,3,0,0,0,0,0,0,0,0,0,0
inoeno01,1954,WS,CHD,AL,2B,5,0,0,0,0,0,0,0,0,0,0
