playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
nemotha01,1939,CHD,,1,91,38,53,6,
okadage01,1939,CHD,,2,92,36,56,7,
morish06,1939,EGL,AL,1,94,29,65,,
yamasmi01,1939,HKB,,1,94,58,36,3,
takadka01,1939,LIO,,1,91,33,58,8,
takasyo01,1939,NKH,,1,90,40,50,5,
ishimts01,1939,OST,AL,1,93,63,30,2,
karithi01,1939,TKS,AL,1,87,49,38,4,
fujimat01,1939,YMG,,1,92,66,26,1,
konishi01,1940,CHD,,1,99,58,41,5,
ishimts01,1940,CHD,,2,97,34,63,7,
yamawko01,1940,EGL,,1,100,46,54,6,
yamasmi01,1940,HKB,,1,99,61,38,3,
matsuke07,1940,HNT,,1,101,64,37,2,
takadka01,1940,LIO,,1,100,24,76,,
takasyo01,1940,NKH,,1,99,28,71,8,
karithi01,1940,TKS,,1,95,56,39,4,
fujimat01,1940,YMG,,1,104,76,28,1,
takeuyo02,1941,ASH,,1,84,25,59,8,
konishi01,1941,CHD,,1,84,37,47,6,
sugitma01,1941,EGL,,1,84,28,56,7,
inokato01,1941,HKB,,1,84,53,31,2,
matsuke07,1941,HNT,,1,84,41,43,5,
mitayha01,1941,NKH,,1,84,43,41,4,
karithi01,1941,TYW,,1,84,47,37,3,
fujimat01,1941,YMG,,1,84,62,22,1,
takeuyo02,1942,ASH,,1,99,49,50,4,
hondach01,1942,CHD,,1,99,39,60,7,
terauka01,1942,EGL,,1,95,27,68,8,
inokato01,1942,HKB,,1,99,49,50,4,
wakabta02,1942,HNT,,1,100,52,48,3,
mitayha01,1942,NKH,,1,105,49,56,6,
ishimts01,1942,TYW,,1,99,60,39,2,
fujimat01,1942,YMG,,1,100,73,27,1,
takeuyo02,1943,ASH,,1,77,41,36,3,
masuka01,1943,CHD,,1,77,48,29,2,
karithi01,1943,EGL,,1,78,35,43,6,
nishima08,1943,HKB,,1,82,31,51,7,
wakabta02,1943,HNT,,1,77,41,36,3,
takadka01,1943,NKH,,1,82,26,56,8,
ishimts01,1943,NSL,,1,76,39,37,5,
nakajha02,1943,YMG,,1,81,54,27,1,
tsubomi01,1944,ASH,,1,136,4,132,5,
nishima08,1944,HKB,,1,118,2,116,3,
wakabta02,1944,HNT,,1,53,1,52,1,
katoki01,1944,KGR,,1,131,5,126,6,
miyakso01,1944,SNG,,1,158,6,152,4,
fujimhi02,1944,YMG,,1,107,3,104,2,
takeuyo02,1946,CHD,,1,102,42,60,7,
tsubomi01,1946,DES,NL,1,103,43,60,6,
nishima08,1946,HKB,,1,103,51,52,4,
yamamka11,1946,KGR,NL,1,103,65,38,1,
fujimfu01,1946,OST,AL,1,105,59,46,3,
fujimat01,1946,SKR,AL,1,102,42,60,7,
yokozsa01,1946,TKS,AL,1,105,47,58,5,
fujimhi02,1946,YMG,,1,103,64,39,2,
sugiuki01,1947,CHD,AL,1,117,67,50,2,
tsubomi01,1947,DES,NL,1,115,41,74,8,
nishima08,1947,HKB,NL,1,115,58,57,4,
yamamka11,1947,NKH,NL,1,114,59,55,3,
wakabta02,1947,OST,AL,1,116,79,37,1,
fujimat01,1947,SKR,AL,1,114,50,64,7,
karithi01,1947,TKF,NL,1,116,51,65,6,
nakajha02,1947,YMG,AL,1,115,56,59,5,
