playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,InnOuts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
emotota01,1973,DS,SBH,NL,0,0,3,1,0,0,0,32,7,3,0,11,3,,2.53,0,0,0,0,0,0,0,0,0,0
fukushi01,1973,DS,SBH,NL,0,0,2,0,0,0,0,6,2,1,0,0,5,,4.5,0,0,0,0,0,0,0,0,0,0
kajimta02,1973,DS,HKB,NL,0,0,1,0,0,0,0,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0
miyosyu01,1973,DS,HKB,NL,0,0,1,0,0,0,0,2,2,1,0,0,1,,13.5,0,0,0,0,0,0,0,0,0,0
mizutta01,1973,DS,HKB,NL,0,0,1,1,0,0,0,6,4,3,0,2,0,,13.5,0,0,0,0,0,0,0,0,0,0
murakma01,1973,DS,SBH,NL,0,0,3,0,0,0,0,6,5,1,0,1,3,,4.5,0,0,0,0,0,0,0,0,0,0
nakayko01,1973,DS,SBH,NL,0,0,2,0,0,0,0,24,9,5,0,4,3,,5.62,0,0,0,0,0,0,0,0,0,0
nishisa02,1973,DS,SBH,NL,0,0,2,2,0,0,0,10,9,5,0,0,1,,13.5,0,0,0,0,0,0,0,0,0,0
satomi02,1973,DS,SBH,NL,0,0,3,0,0,0,0,23,4,1,0,5,2,,1.17,0,0,0,0,0,0,0,0,0,0
takemka01,1973,DS,HKB,NL,0,0,2,0,0,0,0,17,6,2,0,2,0,,3.18,0,0,0,0,0,0,0,0,0,0
todayo01,1973,DS,HKB,NL,0,0,2,0,0,0,0,15,2,2,0,2,1,,3.6,0,0,0,0,0,0,0,0,0,0
yamadhi03,1973,DS,HKB,NL,0,0,2,2,0,0,0,45,14,7,0,8,8,,4.2,0,0,0,0,0,0,0,0,0,0
yamaush01,1973,DS,SBH,NL,0,0,2,2,0,0,0,28,9,2,0,3,6,,1.93,0,0,0,0,0,0,0,0,0,0
yonedte01,1973,DS,HKB,NL,0,0,2,2,0,0,0,45,12,3,0,7,5,,1.8,0,0,0,0,0,0,0,0,0,0
adachmi01,1974,DS,HKB,NL,0,0,1,1,0,0,0,15,7,3,0,0,2,,5.4,0,0,0,0,0,0,0,0,0,0
austiri01,1974,DS,HKB,NL,0,0,1,0,0,0,0,0,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0
kanedto01,1974,DS,LTO,NL,0,0,1,1,0,0,0,18,6,3,0,4,0,,4.5,0,0,0,0,0,0,0,0,0,0
kitarma01,1974,DS,LTO,NL,0,0,1,1,0,0,0,9,4,1,0,3,1,,3.0,0,0,0,0,0,0,0,0,0,0
mitsuma02,1974,DS,LTO,NL,0,0,1,0,0,0,0,2,1,0,0,0,1,,0.0,0,0,0,0,0,0,0,0,0,0
miyamyu01,1974,DS,HKB,NL,0,0,1,0,0,0,0,12,3,2,0,2,2,,4.5,0,0,0,0,0,0,0,0,0,0
mizutno01,1974,DS,LTO,NL,0,0,1,0,0,0,0,11,3,1,0,3,1,,2.45,0,0,0,0,0,0,0,0,0,0
mizutta01,1974,DS,HKB,NL,0,0,1,1,0,0,0,3,6,5,0,1,0,,45.0,0,0,0,0,0,0,0,0,0,0
muratch01,1974,DS,LTO,NL,0,0,2,1,0,0,0,31,3,0,0,6,2,,0.0,0,0,0,0,0,0,0,0,0,0
naritfu01,1974,DS,LTO,NL,0,0,1,0,0,0,0,8,1,0,0,2,0,,0.0,0,0,0,0,0,0,0,0,0,0
takemka01,1974,DS,HKB,NL,0,0,2,0,0,0,0,12,0,0,0,1,2,,0.0,0,0,0,0,0,0,0,0,0,0
todayo01,1974,DS,HKB,NL,0,0,2,0,0,0,0,12,1,1,0,0,2,,2.25,0,0,0,0,0,0,0,0,0,0
yagisso01,1974,DS,LTO,NL,0,0,1,0,0,0,0,1,1,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0
yamadhi03,1974,DS,HKB,NL,0,0,1,0,0,0,0,15,3,2,0,3,0,,3.6,0,0,0,0,0,0,0,0,0,0
yonedte01,1974,DS,HKB,NL,0,0,1,1,0,0,0,8,3,0,0,1,2,,0.0,0,0,0,0,0,0,0,0,0,0
adachmi01,1975,DS,HKB,NL,0,0,2,2,0,0,0,38,12,4,0,1,0,,2.84,0,0,0,0,0,0,5,0,0,0
imotota01,1975,DS,OBF,NL,0,0,1,1,0,0,0,15,6,3,0,1,0,,5.4,0,0,0,0,0,0,2,0,0,0
kanbeto01,1975,DS,OBF,NL,0,0,1,1,0,0,0,23,10,5,0,0,0,,5.87,0,0,0,0,0,0,1,0,0,0
shibahi05,1975,DS,OBF,NL,0,0,3,0,0,0,0,27,7,3,0,6,1,,3.0,0,0,0,0,0,0,6,0,0,0
suzukke05,1975,DS,OBF,NL,0,0,2,2,0,0,0,20,11,7,0,4,0,,9.45,0,0,0,0,0,0,3,0,0,0
yamadhi03,1975,DS,HKB,NL,0,0,1,0,0,0,0,15,8,7,0,5,0,,12.6,0,0,0,0,0,0,3,0,0,0
yamagta02,1975,DS,HKB,NL,0,0,2,2,0,0,0,54,19,5,0,6,0,,2.5,0,0,0,0,0,0,8,0,0,0
yanagyu04,1975,DS,OBF,NL,0,0,1,0,0,0,0,18,4,0,0,3,0,,0.0,0,0,0,0,0,0,2,0,0,0
adachmi01,1977,DS,HKB,NL,0,0,2,2,0,0,0,48,10,2,0,1,1,,1.12,0,0,0,0,0,0,5,0,0,0
inabami01,1977,DS,HKB,NL,0,0,1,1,0,0,0,1,2,1,0,1,0,,27.0,0,0,0,0,0,0,0,0,0,0
kanedto01,1977,DS,LTO,NL,0,0,1,1,0,0,0,24,7,0,0,2,0,,0.0,0,0,0,0,0,0,5,0,0,0
mitsuma02,1977,DS,LTO,NL,0,0,2,1,0,0,0,35,9,2,0,5,0,,1.54,0,0,0,0,0,0,8,0,0,0
muratch01,1977,DS,LTO,NL,0,0,3,1,0,0,0,36,12,8,0,4,0,,6.0,0,0,0,0,0,0,10,0,0,0
narisha01,1977,DS,LTO,NL,0,0,2,0,0,0,0,2,1,2,0,2,0,,27.0,0,0,0,0,0,0,1,0,0,0
nishito02,1977,DS,LTO,NL,0,0,1,0,0,0,0,11,12,12,0,5,0,,29.45,0,0,0,0,0,0,0,0,0,0
shirash01,1977,DS,HKB,NL,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
yagisso01,1977,DS,LTO,NL,0,0,2,1,0,0,0,17,11,4,0,1,0,,6.35,0,0,0,0,0,0,3,0,0,0
yamadhi03,1977,DS,HKB,NL,0,0,2,2,0,0,0,54,10,2,0,1,0,,1.0,0,0,0,0,0,0,6,0,0,0
