playerID,yearID,stint,teamID,lgID,babip_ab_against,h_hr_actual,MLB pBABIP,career_babip_actual_500_ab_minimum,1yr_babip_actual_100_ab_minimum,3yr_babip_actual_300_ab_minimum,5yr_babip_actual_500_ab_minimum,career_babip_aactual_500_ab_minimum_Relative,1yr_babip_aactual_100_ab_minimum_Relative,3yr_babip_actual_300_ab_minimum_Relative,5yr_babip_actual_500_ab_minimum_Relative,career_babip_actual_1000_ab_minimum,1yr_babip_actual_200_ab_minimum,3yr_babip_actual_600_ab_minimum,5yr_babip_actual_1000_ab_minimum,career_babip_actual_1000_ab_minimum_Relative,1yr_babip_actual_200_ab_minimum_Relative,3yr_babip_actual_600_ab_minimum_Relative,5yr_babip_actual_1000_ab_minimum_Relative,ros_team_id,hist_id,hist_team_id,ros_player_id
abbotky01,1994,1,KNB,NL,38,25,0.295,0.295,0.45,0.388,0.295,1.0,1.525,1.315,1.0,0.295,0.45,0.388,0.295,1.0,1.525,1.315,1.0,,,,
abeha01,1949,1,HKB,NL,306,91,0.295,0.262,0.358,0.337,0.295,0.888,1.214,1.143,1.0,0.262,0.358,0.337,0.295,0.888,1.214,1.143,1.0,,,,
abeha01,1950,1,HKB,NL,917,235,0.295,0.262,0.315,0.326,0.267,0.888,1.069,1.104,0.904,0.262,0.315,0.326,0.267,0.888,1.069,1.104,0.904,,,,
abeha01,1951,1,HKB,NL,840,220,0.295,0.262,0.324,0.317,0.265,0.888,1.1,1.074,0.897,0.262,0.324,0.317,0.265,0.888,1.1,1.074,0.897,,,,
abeha01,1952,1,HKB,NL,0,0,0.295,0.262,0.295,0.3,0.265,0.888,1.0,1.018,0.897,0.262,0.295,0.3,0.265,0.888,1.0,1.018,0.897,,,,
abeha01,1953,1,HKB,NL,489,115,0.295,0.262,0.293,0.302,0.259,0.888,0.992,1.025,0.878,0.262,0.293,0.302,0.259,0.888,0.992,1.025,0.878,,,,
abeha01,1954,1,HKB,NL,413,113,0.295,0.262,0.338,0.319,0.257,0.888,1.147,1.08,0.871,0.262,0.338,0.319,0.257,0.888,1.147,1.08,0.871,,,,
abeha01,1955,1,HKB,NL,701,162,0.295,0.262,0.286,0.303,0.25,0.888,0.969,1.026,0.846,0.262,0.286,0.303,0.25,0.888,0.969,1.026,0.846,,,,
abeha01,1956,1,HKB,NL,632,164,0.295,0.262,0.318,0.317,0.248,0.888,1.077,1.074,0.84,0.262,0.318,0.317,0.248,0.888,1.077,1.074,0.84,,,,
abeha01,1957,1,HKB,NL,404,117,0.295,0.262,0.345,0.336,0.254,0.888,1.17,1.14,0.862,0.262,0.345,0.336,0.254,0.888,1.17,1.14,0.862,,,,
abeha01,1958,1,HKB,NL,271,79,0.295,0.262,0.328,0.346,0.262,0.888,1.111,1.173,0.889,0.262,0.328,0.346,0.262,0.888,1.111,1.173,0.889,,,,
abeha01,1959,1,NSL,NL,110,35,0.295,0.262,0.402,0.366,0.263,0.888,1.364,1.24,0.891,0.262,0.402,0.366,0.263,0.888,1.364,1.24,0.891,,,,
abeka02,2008,1,LTM,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abeka02,2009,1,LTM,NL,0,0,0.295,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,0.295,0.295,0.295,0.295,1.0,1.0,1.0,1.0,,,,
abeka02,2010,1,LTM,NL,0,0,0.295,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,0.295,0.295,0.326,0.295,1.0,1.0,1.105,1.0,,,,
