lahmanID,proeyekyuuID,2689webID,last_name_en,first_name_en,last_name_jp,first_name_jp
almonda01,93595159,,Almonte,David,Ｄ．アルモンテ,
ozunajo01,53755157,,Ozuna,Jose,Ｊ．オスーナ,
ueharta01,41345150,,Uehara,Taiga,上原,堆我
tanaima01,91495150,2025043,Tanai,Manato,田内,真翔
hirosyu01,31835150,,Hirose,Yuki,広瀬,結煌
fukitsh01,51855150,,Fukita,Shido,吹田,志道
murakta01,73175150,,Murakami,Taito,村上,泰斗
kawakso01,11715150,,Kawakatsu,Sorato,川勝,空人
kishiyu01,01705150,,Kishimoto,Yuya,岸本,佑也
saitohi01,21925150,2025084,Saito,Hiroto,齋藤,大翔
kikucha01,91795150,2025013,Kikuchi,Harun,菊地,ハルン
takahko01,41245150,,Takahashi,Kosuke,高橋,幸佑
guzmafr01,83085150,,Guzman,Francis,Ｆ．グズマン,
morish01,03105150,2025035,Mori,Shunta,森,駿太
kariush01,81585150,,Kariu,Shoma,狩生,聖真
inoueke01,51355150,,Inoue,Kenya,井上,剣也
moiseni01,93195150,,Moiseev,Nikita,モイセエフ,ニキータ
shibuju01,11215150,,Shibuya,Junki,澁谷,純希
fujitry01,01805150,,Fujita,Ryusei,藤田,琉生
nishiay01,01605150,,Nishikawa,Ayumu,西川,歩
takesra01,81285150,,Takeshita,Raia,竹下,徠空
takeska01,61265150,,Takeshita,Kaito,竹下,海斗
imasato01,01305150,,Imasaka,Tomoki,今坂,幸暉
kumagta01,11915150,,Kumagai,Taiga,熊谷,太雅
kobarda01,71975150,,Kobari,Daiki,小針,大輝
horiesh01,21825150,,Horie,Shotaro,堀江,正太郎
kanabko01,41545150,,Kanabuchi,Koki,金渕,光希
shinohi01,61065150,2025086,Shinohara,Hibiki,篠原,響
arimake01,91195150,,Arima,Keito,有馬,惠叶
tanimts01,21425150,,Tanimura,Tsuyoshi,谷村,剛
yoshiha01,73375150,,Yoshioka,Haru,吉岡,暖
fujiya01,91895150,,Fuji,Yamato,冨士,大和
kawansh01,71775150,,Kawano,Shinichiro,河野,伸一朗
nakamna01,71675150,,Nakamura,Naiki,中村,奈一輝
kinosha01,21725150,,Kinoshita,Hayato,木下,勇人
sawadha01,01005150,,Sawada,Haruto,澤田,遥斗
tsukake01,41445150,,Tsukayama,Kenshiro,津嘉山,憲志郎
ishidju01,41145150,,Ishida,Juza,石田,充冴
shimida01,51255150,,Shimizu,Daiki,清水,大暉
suzukke01,21225150,,Suzuki,Keishin,鈴木,圭晋
unosh01,61365150,,Uno,Shinjiro,宇野,真仁朗
inuike01,31335150,,Inui,Kento,乾,健斗
tanakha01,01405150,2025111,Tanaka,Haruto,田中,陽翔
kobunts01,91995150,,Kobune,Tsubasa,小船,翼
ishimso01,81185150,,Ishimi,Soma,石見,颯真
kesamyu01,31935150,,Kesamaru,Yuki,今朝丸,裕喜
sobukza01,01905150,,Sobukawa,Zairen,ザイレン,
shiojda01,21025150,,Shioji,Dan,塩士,暖
yamagre01,83185150,2025010,Yamaguchi,Reo,山口,廉王
tatsuha01,51455150,,Tatsuyama,Haruki,龍山,暖
ibarayu01,91395150,,Ibaragi,Yuta,茨木,佑太
sakaiha01,41945150,2025099,Sakai,Haru,坂井,遼
shibare01,81085150,2025060,Shibata,Reo,柴田,獅子
umebiok01,31535150,,Umebinyuo,Okem Mei,オケム,
ratanra01,23325150,,Ratanayake,Ramal Geevin,ラマル,
ishizyu01,61165150,2025064,Ishizuka,Yusei,石塚,裕惺
fukuoha01,71875150,,Fukuo,Haruma,福尾,遥真
chenmu01,43545150,,Chen,Mu-Heng,陳,睦衡
suzukky01,01005159,2024114,Suzuki,Kyo,鈴木,叶
ohuchse01,41345159,2025048,Ohuchi,Seiya,大内,誠弥
naritha01,81485159,,Narita,Haruse,成田,晴風
takamik01,11215159,,Takamizawa,Ikumi,高見澤,郁魅
katohya01,91595159,,Katoh,Yamato,加藤,大和
hsiaoch01,23525150,,Hsiao,Chi,蕭,齊
fujiwha01,01805159,,Fujiwara,Haruto,藤原,大翔
matsush01,53155159,,Matsuishi,Shinya,松石,信八
takahsh01,53255159,,Takahashi,Shosei,翔聖,
huangch01,73275159,,Huang,Chin-Hao,黃,錦豪
hamadta01,71675159,,Hamada,Taiki,濵田,泰希
zhangju01,63565150,,Zhang,Jun-Wei,張,峻瑋
sarduda01,03705159,,Sarduy,Dario,Ｄ．サルディ,
fujitka01,51855159,,Fujita,Kazuki,藤田,和樹
sakurky01,31935159,,Sakura,Kyoshiro,佐倉,俠史朗
yokoyse01,83385159,2024009,Yokoyama,Seiya,横山,聖哉
takeury01,71275159,,Takeuchi,Ryota,武内,涼太
ogasaso01,31535159,,Ogasawara,Sou,小笠原,蒼
waterri01,13515159,,Waters,RikaiJyumile,ワォーターズ,璃海ジュミル
shimima01,41945159,,Shimizu,Manato,清水,麻成
sugihmi01,71075159,,Sugihara,Mirai,杉原,望来
sugiyha01,91095159,2024095,Sugiyama,Haruki,杉山,遙希
kondota01,81785159,,Kondo,Taiga,近藤,大雅
tomiyko01,91495159,,Tomiyama,Konoshin,富山,紘之進
momosao01,23325159,,Momosaki,Aoi,百﨑,蒼生
hiratda01,21625159,,Hirata,Daiju,平田,大樹
myosery01,53355159,,Myose,Ryosuke,明瀬,諒介
yamadsh01,63365159,,Yamada,Shuya,山田,脩也
teracry01,51455159,2024108,Terachi,Ryusei,寺地,隆成
fukudko01,31835159,2025031,Fukuda,Konosuke,福田,幸之介
nagamke01,61465159,,Nagamizu,Keishin,長水,啓眞
miyagri01,63165159,,Miyaguni,Riku,宮國,凌空
maedayu01,13115159,2024078,Maeda,Yugo,前田,悠伍
nakadyu01,41445159,2024019,Nakada,Yuto,仲田,侑仁
takanso01,81085159,,Takano,Souta,髙野,颯太
aonota01,31135159,,Aono,Takumi,青野,拓海
hayasot01,91695159,2025102,Hayasaka,Oto,早坂,響
horish01,81885159,2025008,Hori,Shuna,堀,柊那
sonodat01,21025159,,Sonoda,Atsuki,園田,純規
hinatna01,01605159,2024050,Hinata,Naoki,日當,直喜
nakazko01,01405159,,Nakazawa,Koki,中澤,恒貴
murayge01,03305159,,Murayama,Gen,村山,源
sugahi01,31035159,,Suga,Hiroto,寿賀,弘都
tanouyu01,21225159,,Tanoue,Yuya,田上,優弥
takedri01,91295159,2025042,Takeda,Riku,武田,陸玖
fujityu01,91895159,2025079,Fujita,Yutaro,藤田,悠太郎
kimuryu01,71775159,2025097,Kimura,Yuto,木村,優人
chibata01,41245159,,Chiba,Takahiro,千葉,隆広
toumaka01,71475159,2025007,Toumatsu,Kaisei,東松,快征
hoshihi01,41845159,,Hoshino,Hinode,星野,ひので
kawacko01,81585159,,Kawachi,Kosuke,河内,康介
sakaiha02,11915159,2024049,Sakai,Haruto,坂井,陽翔
kisesh01,51755159,,Kise,Shota,木瀬,翔太
kawasma01,61565159,,Kawashimo,Masahiro,川下,将勲
nodaka01,21425157,,Noda,Kaito,野田,海人
itsubhi01,41145157,2025115,Itsubo,Hinase,井坪,陽生
yoshiyu01,83385157,2025106,Yoshikawa,Yuto,吉川,悠斗
tobityu01,31235157,,Tobita,Yusei,飛田,悠成
matsury01,61865150,,Matsumoto,Ryunosuke,松本,龍之介
kitamri01,21525157,,Kitamura,Rio,北村,流音
kanedyu01,31535157,,Kaneda,Yuta,金田,優太
sunyi01,83785159,2025061,Sun,Yi-Lei,孫,易磊
nonakte01,41445157,,Nonaka,Tento,野中,天翔
yangpo01,53355150,2025056,Yang,Po-Hsiang,陽,柏翔
toire01,11215157,,Toi,Reiji,戸井,零士
moriyak01,33335157,,Moriyama,Akio,森山,暁生
sasakak01,11915157,,Sasaki,Akito,佐々木,明都
yoshiyu02,73575157,,Yoshimura,Yusefu,吉村,優聖歩
asanosh01,91195157,2023065,Asano,Shogo,浅野,翔吾
geralfr01,23025155,,Geraldino,Frankelly,Ｆ．ヘラルディーノ,
saitoky01,41745157,2023003,Saito,Kyosuke,齋藤,響介
anzaika01,01105157,,Anzai,Kanato,安西,叶翔
katsuru01,61365157,,Katsumata,Rui,勝又,琉偉
naitoho01,91295157,2024008,Naito,Ho,内藤,鵬
timaju01,13015153,,Tima,Julian,Ｊ．ティマ,
uchidsh01,51355157,2024020,Uchida,Shodai,内田,湘大
hiwatto01,81685159,,Hiwatari,Touki,日渡,騰輝
morisry01,63165157,,Morishita,Ryudai,森下,瑠大
simonma01,23925155,,Simon,Marco,Ｍ．シモン,
hidakat01,41645157,,Hidaka,Atsumi,日髙,暖己
morimte01,13315157,,Morimoto,Tessei,森本,哲星
kogako01,31735157,,Koga,Kosei,古賀,康誠
ikhinit01,11315157,2025074,Ikhine,Itua,イヒネ,イツア
tsujita01,81085157,2025018,Tsuji,Taiga,辻,大雅
fujitta01,11815157,,Fujita,Taisei,藤田,大清
ohnoka01,21325157,2025076,Ohno,Kazuo,大野,稼頭央
delacjo01,83985153,,De La Cruz,Jose,Ｊ．デラクルーズ,
uchinka01,71375157,,Uchino,Kaito,内野,海斗
suzukre01,93595157,,Suzuki,Ren,蓮,
konnory01,01705157,,Konno,Ryuto,今野,瑠斗
ohshige01,91395157,,Ohshiro,Gen,大城,元
okaueju01,41345157,,Okaue,Jumpei,岡植,純平
mombeke01,53355157,2023099,Mombetsu,Keito,門別,啓人
yamasky01,23325157,,Yamashita,Kyogo,山下,恭吾
matsush02,21825157,2024042,Matsuo,Shion,松尾,汐恩
sakamta01,81785157,2025108,Sakamoto,Takumi,坂本,拓己
shimika01,91995157,2025017,Shimizu,Kanato,清水,叶人
shiraka01,41945157,,Shirahama,Kaiki,白濱,快起
nishiru01,91495157,2023096,Nishimura,Ruito,西村,瑠伊斗
nakatay01,01205157,,Nakata,Ayumu,中田,歩夢
armenal01,33735155,,Armenta,Alexander,Ａ．アルメンタ,
utsunki01,01305159,,Utsunomiya,Kisara,宇都宮,葵星
kohnohi01,01705159,,Kohno,Hikaru,髙野,光海
ibarahi01,81185157,2025117,Ibaragi,Hidetoshi,茨木,秀俊
kusanha01,61565157,,Kusano,Haruto,草野,陽斗
tanakha02,01005157,2024104,Tanaka,Haruya,田中,晴也
aizawha01,31135157,,Aizawa,Hakuto,相澤,白虎
saitoyu01,61765157,2025014,Saitoh,Yuta,斉藤,優汰
morisry02,83185157,,Morishima,Ryota,盛島,稜大
furukyu01,51855157,2025090,Furukawa,Yuudai,古川,雄大
mitsuru01,13115157,2025070,Mitsuka,Rui,三塚,琉生
yamadha01,43345157,2025092,Yamada,Haruto,山田,陽翔
yamaary01,93395157,2023026,Yamaasa,Ryunosuke,山浅,龍之介
akabare01,71175157,,Akaba,Ren,赤羽,蓮
satohko01,31935157,,Satoh,Kota,佐藤,航太
tamurto01,41045157,,Tamura,Tomoki,田村,朋輝
kurokka01,11715157,,Kurokawa,Kaisei,黒川,凱星
tanigas01,01205159,,Taniguchi,Asahi,谷口,朝陽
mishiyo01,43145155,,Mishiro,Yoshiki,三代,祥貴
tatsuko01,01205155,2022130,Tatsu,Kota,達,孝太
palacer01,03705150,,Palacios,Erwin,Ｅ．パラシオス,
hirayko01,41645159,,Hirayama,Kota,平山,功太
kamouei01,41545155,,Kamouchi,Eiji,鴨打,瑛二
aibarry01,31135155,,Aibara,Ryunosuke,粟飯原,龍之介
sasahmi01,21925155,2025067,Sasahara,Misaki,笹原,操希
izakisa01,61165155,,Izaki,Sanshiro,井﨑,燦志郎
kyomoma01,91795155,2024070,Kyomoto,Makoto,京本,眞
nakagha01,51455155,2025122,Nakagawa,Hayato,中川,勇斗
kurodma01,21725155,2025083,Kuroda,Masaya,黒田,将矢
tanakle01,41245155,,Tanaka,Leiri Hammond,ハモンド,
hadash01,51655155,2024094,Hada,Shinnosuke,羽田,慎之介
hoshima01,01805155,,Hoshino,Mao,星野,真生
nagaski01,71475155,,Nagashimada,Kirato,永島田,輝斗
maedagi01,61865155,,Maeda,Ginji,前田,銀治
murayry01,73375155,,Murayama,Ryosuke,村山,亮介
taika01,61065155,2025050,Tai,Katsutoshi,泰,勝利
yamasta01,13515155,,Yamasaki,Takuma,山崎,琢磨
fukazos01,61665155,,Fukazawa,Osuke,深沢,鳳介
takeyhy01,91295155,2022061,Takeyama,Hyuga,竹山,日向
kawasha01,61565155,,Kawasaki,Haruto,川嵜,陽仁
yoshiso01,43545155,2025057,Yoshino,Soshi,吉野,創士
matsuko01,53155155,2022062,Matsukawa,Kou,松川,虎生
