franchID,franchName,active,NAassoc
ATM,Atoms,N,
CHD,Chunichi Dragons,Y,
CRL,Crown Lions,N,
DES,Daiei Stars,N,
DEU,Daiei Unions,N,
DHH,Daiei Hawks,N,
DMO,Daimai Orions,N,
DNB,DeNA BayStars,Y,
HKB,Hankyu Braves,N,
HNT,Hanshin Tigers,Y,
HRC,Hiroshima Carp,Y,
KGR,Kinki Great Ring,N,
KKS,Kokutetsu Swallows,N,
KNB,Kintetsu Buffaloes,N,
KNP,Kintetsu Pearls,N,
KSS,Kinsei Stars,N,
KYF,Kyuei Flyers,N,
LTM,Lotte Marines,Y,
LTO,Lotte Orions,N,
MNO,Mainichi Orions,N,
NKH,Nankai Hawks,N,
NNP,Nishinihon Pirates,N,
NPH,Nippon-Ham Fighters,Y,
NSC,Nishitetsu Clippers,N,
NSL,Nishitetsu Lions,N,
NTF,Nittaku Flyers,N,
OBF,Orix Buffaloes,Y,
OBW,Orix BlueWave,N,
ORB,Orix Braves,N,
OST,Osaka Tigers,N,
RKE,Rakuten Eagles,Y,
SBH,SoftBank Hawks,Y,
SBL,Seibu Lions,Y,
SKA,Sankei Atoms,N,
SKR,Shochiku Robins,N,
SKS,Sankei Swallows,N,
TBU,Tombo Unions,N,
TKF,Tokyu Flyers,N,
TKO,Tokyo Orions,N,
TKU,Takahashi Unions,N,
TOF,Toei Flyers,N,
TPL,Taiheiyo Lions,N,
TYR,Taiyo Robins,N,
TYW,Taiyo Whales,N,
YBS,Yokohama BayStars,N,
YKA,Yakult Atoms,N,
YKS,Yakult Swallows,Y,
YMG,Yomiuri Giants,Y,
YSR,Yosho Robins,N,
