old_lahmanID,new_lahmanID
rsaimxx01,simonra01
grasuxx01,rathga01
jferuxx02,fernajo01
kreibxx01,rayboke01
aakiixx01,aquinar01
tbauaxx01,bauertr01
bmootxx01,mortobu01
nsotoxx01,sotone01
kjienxx01,jenseky01
rhowaxx01,whitero01
aaburxx02,abreual01
kmaasxx01,maaske01
cburaxx01,brumbcl01
akasuxx01,castran01
cpoorxx01,paulco01
esutaxx01,stulter01
pinkaxx01,incavpe01
ejonsxx01,johnsel01
bharixx01,harribu01
mhaatxx01,hartlmi01
satchxx01,atchisc01
jhowaxx02,whitejo01
jmaiyxx01,meyerjo01
rbandxx01,vanderi01
tshiexx01,schepta01
ekarixx01,carides01
abaasxx01,bassan01
crobaxx01,roberch01
ddeshxx01,decindo01
mfuraxx01,frankmi01
jurukxx01,urquija01
bsukexx01,scalebo01
bbaadxx01,bardebr01
jhikkxx02,hicksjo01
edesexx01,desseel01
cransxx01,ransoco01
yropexx01,lopezyo01
jdomixx01,dominjo01
tkuruxx01,cruzto01
dhenrxx01,henrydw01
djieexx01,jamesdi01
sparaxx01,perlosa01
tmitcxx01,mitchto01
fsegixx01,seguife01
cmaruxx01,martica01
ckanbxx01,cumbech01
nperexx01,perezne01
abasuxx01,bassad01
tgonzxx01,gonzato01
cgittxx01,gittech01
gheruxx01,germego01
jredoxx01,redmoji01
jdaikxx01,dykstja01
rdeyuxx02,duceyro01
jddeexx01,davisjo01
eshuuxx01,schuler01
mbaumxx01,baumami01
msukuxx01,skrmema01
droocxx01,roachdo01
bsamoxx01,sammobr01
btoomxx01,thomabr01
jhyuuxx01,huberju01
jarubxx01,albaljo01
odikuxx01,dicksok01
rperexx01,perezro01
adeebxx01,davisal01
jmiraxx03,miranju01
aarubxx01,alberan01
rmontxx01,monteri01
ntesuxx01,testani01
lmosuxx01,mosebll01
bmorexx01,morelbr01
jgeraxx01,guerrja01
ktoobxx01,torveke01
omaruxx01,merceor01
lurufxx01,wolfela01
jburuxx02,brookje01
orinaxx01,linarom01
hkotoxx01,cottohe01
akamixx01,caminar01
jgoomxx01,gomesjo01
barenxx01,allenbr01
cmiraxx01,mirabca01
sgiruxx01,gilbesh01
bkonrxx01,conrabr01
pkibuxx01,kivlepa01
mrokkxx01,rochfmi01
dkaikxx01,keuchda01
cboiyxx01,boyercl01
cheinxx01,haneych01
akasuxx02,casteal01
mgomexx01,gomezma01
bdikuxx01,dicksbr01
gburoxx01,blossgr01
raarixx01,erlinro01
dgonzxx02,gonzade01
sandaxx01,andersc01
wkeejxx01,cagewa01
dburexx01,blasido01
mderuxx01,deltomi01
rarenxx01,allenro01
